"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","84","49","0","1","18","3","155","38","BOARD ACTION","0","1","0","0","2","0","3"
"BY MAIL","3,893","2,055","30","41","1,662","75","7,756","786","COUNTY TRANSFER - OUT","4,434","1,940","37","43","1,539","90","8,083"
"DESIGNATED STATE AGENCIES","71","44","0","1","29","1","146","2","CRIMINAL CONVICTION","117","33","0","0","40","3","193"
"ELDERLY / DISABLED","8","1","0","0","2","1","12","15","DEATH NOTICE","346","225","1","2","48","2","624"
"FROM ANOTHER BOARD","87","50","0","1","28","3","169","33","DUPLICATE","98","42","0","0","32","3","175"
"PROVISIONAL BALLOT","2","0","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","9","2","0","0","3","0","14"
"IN PERSON","155","101","2","1","70","1","330","22","MENTAL INCOMPETENCY","1","1","0","0","0","0","2"
"MOTOR VEHICLE ADMINISTRATION","6,547","2,466","42","95","3,781","81","13,012","1,611","MOVED OUT OF STATE","641","382","3","3","280","19","1,328"
"NVRA BY MAIL","179","182","2","1","120","5","489","22","OTHER","95","38","0","0","58","1","192"
"OTHER MEANS","209","193","1","3","154","5","565","1,517","VOTER REQUEST","11","6","0","2","8","1","28"
"RECRUITING","2","1","0","0","0","0","3","1","CONFIRMATION MAIL","15","6","0","0","10","0","31"
"SOCIAL SERVICES","144","21","0","1","71","0","237","50","","","","","","","",""
"VOLUNTEER","150","81","1","4","54","1","291","0","","","","","","","",""
"TOTAL","11,531","5,244","78","149","5,989","176","23,167","4,097","TOTAL","5,767","2,676","41","50","2,020","119","10,673"
