"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","3","0","0","0","0","6","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","13","14","0","1","5","0","33","0","COUNTY TRANSFER - OUT","20","9","0","0","15","1","45"
"DESIGNATED STATE AGENCIES","4","4","0","0","0","0","8","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","1","2","0","0","1","0","4","0","DUPLICATE","3","6","0","0","2","0","11"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","2","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","21","22","0","2","23","0","68","2","MOVED OUT OF STATE","0","2","0","0","0","0","2"
"NVRA BY MAIL","6","17","0","0","12","0","35","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","10","11","1","0","7","0","29","30","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","1","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","58","75","1","3","49","0","186","32","TOTAL","24","18","0","0","18","1","61"
