"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","3","0","0","1","0","4","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","253","188","1","3","135","8","588","50","COUNTY TRANSFER - OUT","375","157","2","3","137","9","683"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","2","0","CRIMINAL CONVICTION","5","1","0","0","2","0","8"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","1","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","3","1","0","0","1","1","6","0","DUPLICATE","3","2","0","0","0","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","0","0","0","1","0","4"
"IN PERSON","3","3","0","0","2","0","8","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","295","139","3","4","223","2","666","180","MOVED OUT OF STATE","25","20","0","0","12","1","58"
"NVRA BY MAIL","2","0","0","0","0","0","2","0","OTHER","9","3","0","0","6","0","18"
"OTHER MEANS","19","19","0","0","13","0","51","75","VOTER REQUEST","1","2","0","0","1","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","4","3","0","0","1","0","8","1","","","","","","","",""
"VOLUNTEER","5","1","0","1","5","1","13","0","","","","","","","",""
"TOTAL","584","359","4","8","381","12","1,348","312","TOTAL","422","185","2","3","159","10","781"
