age_bracket,Legislative,Party,Count,voted_2024,voted_2020
35-50,42A,REP,1808,1488,1406
35-50,42A,UNA,1183,845,780
35-50,42B,DEM,1526,1079,1037
35-50,42B,OTH,90,46,42
35-50,42B,REP,795,589,547
35-50,42B,UNA,1034,656,600
35-50,42C,DEM,740,546,538
35-50,42C,OTH,115,68,71
35-50,42C,REP,2110,1730,1576
35-50,42C,UNA,1237,799,728
35-50,43A,DEM,5431,2829,2867
35-50,43A,OTH,215,59,67
35-50,43A,REP,468,181,171
35-50,43A,UNA,1641,626,626
35-50,43B,DEM,1586,1213,1174
35-50,43B,OTH,74,32,30
35-50,43B,REP,477,353,337
35-50,43B,UNA,880,556,525
35-50,44A,DEM,1432,901,878
35-50,44A,OTH,131,54,54
35-50,44A,REP,861,566,490
35-50,44A,UNA,956,492,467
35-50,44B,DEM,3953,2310,2352
35-50,44B,OTH,184,76,71
35-50,44B,REP,1112,734,657
35-50,44B,UNA,1860,947,892
35-50,45,DEM,7556,3371,3549
35-50,45,OTH,368,107,97
35-50,45,REP,868,334,285
35-50,45,UNA,2485,910,851
35-50,46,DEM,7130,4208,3890
35-50,46,OTH,360,132,106
35-50,46,REP,1710,785,771
35-50,46,UNA,3554,1482,1369
35-50,47A,DEM,4021,1950,1936
35-50,47A,OTH,222,66,48
35-50,47A,REP,521,263,196
35-50,47A,UNA,1513,593,541
35-50,47B,DEM,1006,455,481
35-50,47B,OTH,80,19,11
35-50,47B,REP,164,77,64
35-50,47B,UNA,501,186,159
51-64,36,DEM,1233,1032,983
51-64,36,OTH,37,25,25
51-64,36,REP,2332,2053,1991
51-64,36,UNA,734,553,528
51-64,01A,DEM,659,504,456
51-64,01A,OTH,49,29,27
51-64,01A,REP,2538,2122,1977
51-64,01A,UNA,478,299,255
51-64,01B,DEM,1044,747,691
51-64,01B,OTH,53,26,20
51-64,01B,REP,2112,1717,1600
51-64,01B,UNA,638,387,339
51-64,01C,DEM,855,637,617
51-64,01C,OTH,35,22,15
51-64,01C,REP,2397,2041,1914
51-64,01C,UNA,647,422,370
51-64,02A,DEM,2240,1852,1737
51-64,02A,OTH,87,54,50
51-64,02A,REP,4172,3596,3393
51-64,02A,UNA,1498,1102,969
51-64,02B,DEM,1400,951,915
51-64,02B,OTH,39,23,15
51-64,02B,REP,1063,783,723
51-64,02B,UNA,606,330,296
51-64,03,DEM,5424,4435,4360
51-64,03,OTH,106,67,57
51-64,03,REP,2908,2340,2323
51-64,03,UNA,2203,1509,1490
51-64,04,DEM,4359,3766,3732
51-64,04,OTH,94,69,57
51-64,04,REP,5907,5114,5106
51-64,04,UNA,2694,2109,2019
51-64,05,DEM,3420,2958,2914
51-64,05,OTH,146,105,97
51-64,05,REP,6780,5945,5910
51-64,05,UNA,2381,1823,1788
51-64,06,DEM,4380,3073,3037
51-64,06,OTH,170,81,81
51-64,06,REP,3654,2920,2821
51-64,06,UNA,1656,948,906
51-64,07A,DEM,2913,2352,2334
51-64,07A,OTH,86,64,66
51-64,07A,REP,3258,2819,2709
51-64,07A,UNA,1256,904,859
51-64,07B,DEM,1221,1024,1026
51-64,07B,OTH,47,30,35
51-64,07B,REP,2283,1999,1998
51-64,07B,UNA,699,543,542
51-64,08,DEM,5849,4545,4534
51-64,08,OTH,120,80,74
51-64,08,REP,2491,1965,1911
51-64,08,UNA,1589,1011,969
51-64,09A,DEM,3733,3213,3248
51-64,09A,OTH,93,68,62
51-64,09A,REP,2936,2537,2570
51-64,09A,UNA,2022,1599,1613
51-64,09B,DEM,1841,1589,1598
51-64,09B,OTH,44,32,27
51-64,09B,REP,851,691,709
51-64,09B,UNA,874,692,683
51-64,10,DEM,8399,7029,7076
51-64,10,OTH,128,77,77
51-64,10,REP,1599,1314,1303
51-64,10,UNA,1505,1028,1031
51-64,11A,DEM,2583,2189,2185
51-64,11A,OTH,41,29,26
51-64,11A,REP,441,355,355
51-64,11A,UNA,483,326,331
51-64,11B,DEM,4234,3678,3613
51-64,11B,OTH,66,45,48
51-64,11B,REP,1893,1597,1579
51-64,11B,UNA,1254,895,888
51-64,12A,DEM,4621,3936,3884
51-64,12A,OTH,101,63,66
51-64,12A,REP,1579,1338,1326
51-64,12A,UNA,1514,1080,1117
51-64,12B,DEM,1743,1273,1290
51-64,12B,OTH,47,24,27
51-64,12B,REP,963,728,719
51-64,12B,UNA,630,365,369
51-64,13,DEM,6590,5695,5659
51-64,13,OTH,134,96,82
51-64,13,REP,2091,1720,1710
51-64,13,UNA,2168,1608,1643
51-64,14,DEM,7186,6066,6133
51-64,14,OTH,118,74,81
51-64,14,REP,2495,2050,2037
51-64,14,UNA,2298,1640,1643
51-64,15,DEM,7088,5971,6103
51-64,15,OTH,167,111,110
51-64,15,REP,2428,1945,1985
51-64,15,UNA,3396,2497,2509
51-64,16,DEM,7744,6790,6583
51-64,16,OTH,119,84,87
51-64,16,REP,1638,1313,1279
51-64,16,UNA,2681,2050,1937
51-64,17,DEM,5852,4806,4731
51-64,17,OTH,148,88,72
51-64,17,REP,1529,1162,1149
51-64,17,UNA,2352,1602,1556
51-64,18,DEM,6686,5687,5535
51-64,18,OTH,106,73,69
51-64,18,REP,1223,928,928
51-64,18,UNA,1809,1313,1254
51-64,19,DEM,6004,4900,4826
51-64,19,OTH,107,73,71
51-64,19,REP,1516,1198,1171
51-64,19,UNA,1982,1392,1382
51-64,20,DEM,6931,5635,5585
51-64,20,OTH,99,51,54
51-64,20,REP,720,528,484
51-64,20,UNA,1337,827,792
51-64,21,DEM,5925,4472,4466
51-64,21,OTH,226,81,77
51-64,21,REP,1260,927,935
51-64,21,UNA,1377,885,868
51-64,22,DEM,6826,4958,5028
51-64,22,OTH,226,61,64
51-64,22,REP,556,353,335
51-64,22,UNA,1080,623,602
51-64,23,DEM,12655,10429,10556
51-64,23,OTH,277,111,107
51-64,23,REP,1311,927,954
51-64,23,UNA,1722,1185,1187
51-64,24,DEM,11694,8648,8827
51-64,24,OTH,278,67,64
51-64,24,REP,550,323,330
51-64,24,UNA,1156,672,685
51-64,25,DEM,12954,9839,9984
51-64,25,OTH,246,71,79
51-64,25,REP,460,247,244
51-64,25,UNA,1059,622,606
51-64,26,DEM,11368,8395,8511
51-64,26,OTH,259,78,72
51-64,26,REP,683,390,400
51-64,26,UNA,1170,686,663
51-64,27A,DEM,3980,3315,3309
51-64,27A,OTH,54,28,29
51-64,27A,REP,669,521,538
51-64,27A,UNA,566,377,365
51-64,27B,DEM,3141,2603,2560
51-64,27B,OTH,80,36,34
51-64,27B,REP,1365,1161,1093
51-64,27B,UNA,775,558,508
51-64,27C,DEM,1674,1433,1369
51-64,27C,OTH,41,31,26
51-64,27C,REP,2245,1970,1823
51-64,27C,UNA,803,625,562
51-64,28,DEM,10073,8583,8492
51-64,28,OTH,130,83,71
51-64,28,REP,3068,2552,2514
51-64,28,UNA,2078,1462,1429
51-64,29A,DEM,1263,1029,992
51-64,29A,OTH,41,29,24
51-64,29A,REP,2324,2040,1939
51-64,29A,UNA,715,527,500
51-64,29B,DEM,1493,1141,1137
51-64,29B,OTH,34,19,16
51-64,29B,REP,1151,938,910
51-64,29B,UNA,561,394,356
51-64,29C,DEM,1450,1204,1150
51-64,29C,OTH,74,52,41
51-64,29C,REP,2208,1925,1769
51-64,29C,UNA,822,614,560
51-64,30A,DEM,3682,3188,3047
51-64,30A,OTH,78,54,51
51-64,30A,REP,2252,1898,1873
51-64,30A,UNA,1431,1088,1030
51-64,30B,DEM,1478,1296,1253
51-64,30B,OTH,39,28,27
51-64,30B,REP,1946,1672,1668
51-64,30B,UNA,928,703,670
51-64,31,DEM,4190,3433,3397
51-64,31,OTH,111,61,61
51-64,31,REP,5719,4839,4817
51-64,31,UNA,2460,1808,1762
51-64,32,DEM,6054,4805,4796
51-64,32,OTH,138,78,79
51-64,32,REP,2517,1941,1968
51-64,32,UNA,1864,1244,1207
51-64,33A,DEM,2006,1651,1696
51-64,33A,OTH,51,37,31
51-64,33A,REP,922,747,751
51-64,33A,UNA,772,563,556
51-64,33B,DEM,1686,1492,1475
51-64,33B,OTH,47,39,36
51-64,33B,REP,1858,1638,1608
51-64,33B,UNA,920,741,706
51-64,33C,DEM,1662,1470,1454
51-64,33C,OTH,49,39,35
51-64,33C,REP,1631,1416,1426
51-64,33C,UNA,831,675,647
51-64,34A,DEM,3933,3123,3178
51-64,34A,OTH,92,54,53
51-64,34A,REP,2469,1999,1957
51-64,34A,UNA,1415,935,908
51-64,34B,DEM,1382,1179,1167
51-64,34B,OTH,34,22,22
51-64,34B,REP,1995,1764,1711
51-64,34B,UNA,771,586,579
51-64,35A,DEM,2113,1857,1822
51-64,35A,OTH,100,70,66
51-64,35A,REP,5327,4799,4750
51-64,35A,UNA,1424,1126,1089
51-64,35B,DEM,1052,800,714
51-64,35B,OTH,49,34,29
51-64,35B,REP,2408,2081,1889
51-64,35B,UNA,746,505,394
51-64,36,DEM,2876,2195,1981
51-64,36,OTH,114,85,69
51-64,36,REP,4224,3604,3354
51-64,36,UNA,1679,1166,1030
51-64,37A,DEM,2021,1425,1431
51-64,37A,OTH,55,23,25
51-64,37A,REP,833,652,622
51-64,37A,UNA,459,273,264
51-64,37B,DEM,2876,2366,2292
51-64,37B,OTH,88,57,55
51-64,37B,REP,4270,3690,3597
51-64,37B,UNA,1457,1058,988
51-64,38A,DEM,1633,1247,1240
51-64,38A,OTH,42,25,24
51-64,38A,REP,1853,1578,1526
51-64,38A,UNA,625,409,377
51-64,38B,DEM,1379,1039,1015
51-64,38B,OTH,56,34,28
51-64,38B,REP,1050,843,847
51-64,38B,UNA,559,358,315
51-64,38C,DEM,1342,1057,1002
51-64,38C,OTH,78,56,55
51-64,38C,REP,2642,2233,2131
51-64,38C,UNA,901,625,589
51-64,39,DEM,6492,5166,5165
51-64,39,OTH,145,94,84
51-64,39,REP,1714,1323,1276
51-64,39,UNA,2304,1557,1526
51-64,40,DEM,7817,4650,4816
51-64,40,OTH,113,32,35
51-64,40,REP,525,254,250
51-64,40,UNA,900,366,366
51-64,41,DEM,8865,6371,6524
51-64,41,OTH,98,44,43
51-64,41,REP,635,374,374
51-64,41,UNA,889,461,454
51-64,42A,DEM,1409,1258,1246
51-64,42A,OTH,46,38,38
51-64,42A,REP,2092,1851,1897
51-64,42A,UNA,719,586,586
51-64,42B,DEM,1593,1321,1343
51-64,42B,OTH,44,33,31
51-64,42B,REP,991,850,826
51-64,42B,UNA,582,425,423
51-64,42C,DEM,1033,903,885
51-64,42C,OTH,41,28,25
51-64,42C,REP,2634,2308,2311
51-64,42C,UNA,743,567,545
51-64,43A,DEM,5678,4049,4137
51-64,43A,OTH,59,23,24
51-64,43A,REP,259,126,131
51-64,43A,UNA,576,303,298
51-64,43B,DEM,1794,1532,1547
51-64,43B,OTH,24,20,13
51-64,43B,REP,451,369,372
51-64,43B,UNA,397,294,293
51-64,44A,DEM,1416,1070,1069
51-64,44A,OTH,40,26,24
51-64,44A,REP,685,522,512
51-64,44A,UNA,477,307,289
51-64,44B,DEM,5516,4503,4573
51-64,44B,OTH,94,51,53
51-64,44B,REP,990,777,766
51-64,44B,UNA,915,611,605
51-64,45,DEM,9143,6279,6400
51-64,45,OTH,122,54,48
51-64,45,REP,628,309,322
51-64,45,UNA,933,454,435
51-64,46,DEM,4535,2864,2832
51-64,46,OTH,76,32,31
51-64,46,REP,855,464,458
51-64,46,UNA,987,452,434
51-64,47A,DEM,4294,2887,2875
51-64,47A,OTH,136,38,43
51-64,47A,REP,260,154,146
51-64,47A,UNA,560,306,284
51-64,47B,DEM,1029,667,666
51-64,47B,OTH,53,14,18
51-64,47B,REP,121,70,65
51-64,47B,UNA,194,88,72
51-64,36,DEM,747,586,561
51-64,36,OTH,66,48,40
51-64,36,REP,2363,2035,1996
51-64,36,UNA,813,610,585
51-64,01A,DEM,440,319,290
51-64,01A,OTH,47,28,26
51-64,01A,REP,2545,2069,1948
51-64,01A,UNA,444,293,260
51-64,01B,DEM,781,518,488
51-64,01B,OTH,61,34,35
51-64,01B,REP,2049,1600,1487
51-64,01B,UNA,626,368,312
51-64,01C,DEM,626,456,428
51-64,01C,OTH,39,25,16
51-64,01C,REP,2483,2051,1893
51-64,01C,UNA,615,413,387
51-64,02A,DEM,1482,1153,1083
51-64,02A,OTH,107,73,65
51-64,02A,REP,4413,3723,3456
51-64,02A,UNA,1537,1153,1013
51-64,02B,DEM,1050,631,595
51-64,02B,OTH,55,25,20
51-64,02B,REP,1069,730,678
51-64,02B,UNA,626,336,306
51-64,03,DEM,3686,2799,2731
51-64,03,OTH,157,91,82
51-64,03,REP,3170,2442,2448
51-64,03,UNA,2542,1797,1734
51-64,04,DEM,2869,2434,2334
51-64,04,OTH,160,106,105
51-64,04,REP,6438,5495,5412
51-64,04,UNA,3138,2446,2385
51-64,05,DEM,2144,1760,1748
51-64,05,OTH,208,142,146
51-64,05,REP,7099,6125,6053
51-64,05,UNA,2608,1997,1942
51-64,06,DEM,3249,2009,2032
51-64,06,OTH,155,78,67
51-64,06,REP,3905,2921,2772
51-64,06,UNA,1757,1007,948
51-64,07A,DEM,2013,1523,1505
51-64,07A,OTH,122,84,76
51-64,07A,REP,3278,2718,2641
51-64,07A,UNA,1417,1017,926
51-64,07B,DEM,820,661,656
51-64,07B,OTH,79,59,56
51-64,07B,REP,2359,2080,2040
51-64,07B,UNA,828,613,619
51-64,08,DEM,3850,2628,2646
51-64,08,OTH,163,91,85
51-64,08,REP,2614,1986,1888
51-64,08,UNA,1675,1072,992
51-64,09A,DEM,2668,2249,2248
51-64,09A,OTH,110,76,75
51-64,09A,REP,3205,2732,2726
51-64,09A,UNA,2457,2017,1960
51-64,09B,DEM,1338,1106,1111
51-64,09B,OTH,42,30,28
51-64,09B,REP,997,842,827
51-64,09B,UNA,1112,872,870
51-64,10,DEM,5411,4149,4211
51-64,10,OTH,159,94,86
51-64,10,REP,1792,1395,1375
51-64,10,UNA,1800,1233,1242
51-64,11A,DEM,1532,1179,1204
51-64,11A,OTH,43,20,21
51-64,11A,REP,477,374,365
51-64,11A,UNA,557,390,389
51-64,11B,DEM,2790,2261,2257
51-64,11B,OTH,95,60,61
51-64,11B,REP,1923,1620,1562
51-64,11B,UNA,1341,983,927
51-64,12A,DEM,2942,2418,2421
51-64,12A,OTH,98,72,71
51-64,12A,REP,1773,1465,1485
51-64,12A,UNA,1726,1289,1258
51-64,12B,DEM,1241,789,819
51-64,12B,OTH,60,24,29
51-64,12B,REP,1091,748,729
51-64,12B,UNA,676,377,361
51-64,13,DEM,4500,3666,3624
51-64,13,OTH,179,105,110
51-64,13,REP,2445,1991,1971
51-64,13,UNA,2761,2091,2038
51-64,14,DEM,4846,3898,3901
51-64,14,OTH,154,100,97
51-64,14,REP,2706,2163,2165
51-64,14,UNA,2690,2014,1989
51-64,15,DEM,4815,4023,4012
51-64,15,OTH,185,127,123
51-64,15,REP,2751,2237,2215
51-64,15,UNA,3918,2921,2915
51-64,16,DEM,5306,4640,4490
51-64,16,OTH,114,83,82
51-64,16,REP,2095,1655,1642
51-64,16,UNA,3175,2482,2334
51-64,17,DEM,3999,3129,3102
51-64,17,OTH,144,81,84
51-64,17,REP,1712,1245,1200
51-64,17,UNA,2588,1853,1804
51-64,18,DEM,4931,3975,3898
51-64,18,OTH,135,90,90
51-64,18,REP,1534,1162,1156
51-64,18,UNA,2247,1628,1530
51-64,19,DEM,3997,3079,3102
51-64,19,OTH,127,81,81
51-64,19,REP,1695,1285,1261
51-64,19,UNA,2326,1603,1545
51-64,20,DEM,5045,3897,3798
51-64,20,OTH,146,80,78
51-64,20,REP,934,658,618
51-64,20,UNA,1877,1217,1166
51-64,21,DEM,4251,2937,2983
51-64,21,OTH,311,100,97
51-64,21,REP,1593,1114,1066
51-64,21,UNA,1666,1042,1001
51-64,22,DEM,4926,3111,3266
51-64,22,OTH,270,87,89
51-64,22,REP,695,390,368
51-64,22,UNA,1336,723,732
51-64,23,DEM,8617,6638,6821
51-64,23,OTH,306,134,144
51-64,23,REP,1491,1009,1026
51-64,23,UNA,2074,1387,1404
51-64,24,DEM,8217,5257,5437
51-64,24,OTH,297,83,91
51-64,24,REP,661,356,356
51-64,24,UNA,1512,829,862
51-64,25,DEM,8888,5874,6104
51-64,25,OTH,276,72,72
51-64,25,REP,583,300,303
51-64,25,UNA,1428,787,776
51-64,26,DEM,8439,5432,5637
51-64,26,OTH,302,85,85
51-64,26,REP,751,405,395
51-64,26,UNA,1644,823,866
51-64,27A,DEM,2866,2227,2243
51-64,27A,OTH,64,22,26
51-64,27A,REP,723,548,548
51-64,27A,UNA,702,442,439
51-64,27B,DEM,2225,1691,1670
51-64,27B,OTH,103,50,41
51-64,27B,REP,1409,1162,1062
51-64,27B,UNA,858,614,553
51-64,27C,DEM,1162,904,866
51-64,27C,OTH,63,45,38
51-64,27C,REP,2323,2009,1805
51-64,27C,UNA,829,648,582
51-64,28,DEM,7184,5603,5632
51-64,28,OTH,150,94,90
51-64,28,REP,3170,2538,2510
51-64,28,UNA,2287,1583,1534
51-64,29A,DEM,961,681,672
51-64,29A,OTH,63,40,42
51-64,29A,REP,2408,2072,1948
51-64,29A,UNA,778,586,525
51-64,29B,DEM,970,687,699
51-64,29B,OTH,52,36,34
51-64,29B,REP,1257,1006,987
51-64,29B,UNA,666,458,445
51-64,29C,DEM,950,780,710
51-64,29C,OTH,52,38,35
51-64,29C,REP,2400,2078,1907
51-64,29C,UNA,866,662,587
51-64,30A,DEM,2303,1819,1757
51-64,30A,OTH,101,70,56
51-64,30A,REP,2377,1933,1864
51-64,30A,UNA,1631,1193,1158
51-64,30B,DEM,954,763,727
51-64,30B,OTH,49,35,32
51-64,30B,REP,2071,1745,1715
51-64,30B,UNA,925,696,665
51-64,31,DEM,2959,2274,2277
51-64,31,OTH,169,117,107
51-64,31,REP,5992,4954,4939
51-64,31,UNA,2597,1909,1857
51-64,32,DEM,4066,2893,2900
51-64,32,OTH,145,80,75
51-64,32,REP,2732,2042,2043
51-64,32,UNA,2112,1365,1364
51-64,33A,DEM,1167,935,932
51-64,33A,OTH,47,39,35
51-64,33A,REP,1024,829,831
51-64,33A,UNA,854,628,609
51-64,33B,DEM,1165,988,965
51-64,33B,OTH,70,49,47
51-64,33B,REP,1999,1700,1676
51-64,33B,UNA,1105,882,855
51-64,33C,DEM,1063,919,895
51-64,33C,OTH,55,44,41
51-64,33C,REP,1781,1510,1511
51-64,33C,UNA,1027,810,796
51-64,34A,DEM,2795,2040,2093
51-64,34A,OTH,148,77,76
51-64,34A,REP,2538,2014,1972
51-64,34A,UNA,1425,951,917
51-64,34B,DEM,909,708,722
51-64,34B,OTH,55,41,42
51-64,34B,REP,1999,1724,1704
51-64,34B,UNA,831,626,611
51-64,35A,DEM,1341,1100,1091
51-64,35A,OTH,107,73,74
51-64,35A,REP,5346,4746,4653
51-64,35A,UNA,1604,1247,1224
51-64,35B,DEM,815,548,496
51-64,35B,OTH,73,50,44
51-64,35B,REP,2399,2001,1787
51-64,35B,UNA,739,471,397
51-64,36,DEM,1951,1372,1254
51-64,36,OTH,137,74,75
51-64,36,REP,4451,3697,3351
51-64,36,UNA,1635,1074,979
51-64,37A,DEM,1469,820,829
51-64,37A,OTH,58,23,24
51-64,37A,REP,820,600,591
51-64,37A,UNA,499,254,252
51-64,37B,DEM,1915,1443,1349
51-64,37B,OTH,121,79,73
51-64,37B,REP,4269,3641,3457
51-64,37B,UNA,1431,986,940
51-64,38A,DEM,1075,703,717
51-64,38A,OTH,62,40,31
51-64,38A,REP,1947,1605,1531
51-64,38A,UNA,581,368,339
51-64,38B,DEM,976,661,623
51-64,38B,OTH,37,22,19
51-64,38B,REP,1008,799,749
51-64,38B,UNA,501,327,313
51-64,38C,DEM,876,615,602
51-64,38C,OTH,106,71,56
51-64,38C,REP,2763,2248,2120
51-64,38C,UNA,969,685,620
51-64,39,DEM,4474,3379,3394
51-64,39,OTH,142,83,73
51-64,39,REP,1807,1357,1329
51-64,39,UNA,2690,1852,1793
51-64,40,DEM,6804,3222,3374
51-64,40,OTH,187,67,61
51-64,40,REP,800,334,342
51-64,40,UNA,1291,521,487
51-64,41,DEM,6754,4097,4224
51-64,41,OTH,126,49,50
51-64,41,REP,781,429,425
51-64,41,UNA,1211,549,556
51-64,42A,DEM,888,757,751
51-64,42A,OTH,58,42,41
51-64,42A,REP,2201,1919,1928
51-64,42A,UNA,854,692,697
51-64,42B,DEM,1102,860,844
51-64,42B,OTH,47,31,28
51-64,42B,REP,1029,858,838
51-64,42B,UNA,650,485,467
51-64,42C,DEM,615,507,489
51-64,42C,OTH,57,37,31
51-64,42C,REP,2773,2380,2375
51-64,42C,UNA,761,588,574
51-64,43A,DEM,4289,2521,2586
51-64,43A,OTH,98,41,32
51-64,43A,REP,372,175,166
51-64,43A,UNA,800,360,376
51-64,43B,DEM,1169,953,966
51-64,43B,OTH,40,31,31
51-64,43B,REP,563,441,440
51-64,43B,UNA,515,383,384
51-64,44A,DEM,1033,701,701
51-64,44A,OTH,55,31,30
51-64,44A,REP,796,576,559
51-64,44A,UNA,532,317,317
51-64,44B,DEM,3824,2748,2767
51-64,44B,OTH,113,52,51
51-64,44B,REP,1106,838,792
51-64,44B,UNA,1120,694,681
51-64,45,DEM,6507,3515,3587
51-64,45,OTH,163,63,66
51-64,45,REP,880,410,410
51-64,45,UNA,1135,475,493
51-64,46,DEM,3903,2154,2133
51-64,46,OTH,140,50,53
51-64,46,REP,1179,596,581
51-64,46,UNA,1368,605,553
51-64,47A,DEM,3364,1931,1961
51-64,47A,OTH,168,58,49
51-64,47A,REP,348,187,177
51-64,47A,UNA,719,350,312
51-64,47B,DEM,918,529,515
51-64,47B,OTH,59,12,12
51-64,47B,REP,145,70,57
51-64,47B,UNA,242,112,102
65+,36,DEM,2028,1707,1647
65+,36,OTH,46,36,33
65+,36,REP,2355,2049,2048
65+,36,UNA,584,469,432
65+,01A,DEM,1326,1051,1039
65+,01A,OTH,39,29,29
65+,01A,REP,3233,2713,2705
65+,01A,UNA,369,295,259
65+,01B,DEM,1913,1445,1446
65+,01B,OTH,48,32,34
65+,01B,REP,2946,2414,2416
65+,01B,UNA,496,340,319
65+,01C,DEM,1499,1159,1140
65+,01C,OTH,36,20,23
65+,01C,REP,2732,2320,2266
65+,01C,UNA,513,343,329
65+,02A,DEM,3233,2605,2575
65+,02A,OTH,80,59,59
65+,02A,REP,4524,3895,3764
65+,02A,UNA,1119,827,781
65+,02B,DEM,1465,1113,1111
65+,02B,OTH,20,12,10
65+,02B,REP,1201,937,929
65+,02B,UNA,419,262,266
65+,03,DEM,5883,4809,4723
65+,03,OTH,78,56,51
65+,03,REP,3250,2536,2564
65+,03,UNA,1618,1140,1104
65+,04,DEM,5266,4478,4427
65+,04,OTH,76,50,53
65+,04,REP,5645,4840,4823
65+,04,UNA,1890,1488,1435
65+,05,DEM,4854,4066,4135
65+,05,OTH,116,80,87
65+,05,REP,6979,6024,6119
65+,05,UNA,1692,1261,1265
65+,06,DEM,5535,3792,4051
65+,06,OTH,119,75,74
65+,06,REP,4023,3245,3292
65+,06,UNA,1130,669,650
65+,07A,DEM,4838,3940,4047
65+,07A,OTH,92,65,71
65+,07A,REP,4529,3893,3974
65+,07A,UNA,1111,841,812
65+,07B,DEM,1879,1600,1633
65+,07B,OTH,64,45,49
65+,07B,REP,2654,2340,2367
65+,07B,UNA,577,471,455
65+,08,DEM,6139,4728,4881
65+,08,OTH,102,61,68
65+,08,REP,3179,2524,2592
65+,08,UNA,1105,724,743
65+,09A,DEM,3965,3348,3357
65+,09A,OTH,87,61,63
65+,09A,REP,2861,2414,2480
65+,09A,UNA,1330,1003,989
65+,09B,DEM,2549,2166,2183
65+,09B,OTH,46,35,35
65+,09B,REP,1170,942,975
65+,09B,UNA,722,539,537
65+,10,DEM,9063,7586,7847
65+,10,OTH,114,80,93
65+,10,REP,2006,1623,1697
65+,10,UNA,1040,732,757
65+,11A,DEM,2863,2387,2436
65+,11A,OTH,42,28,37
65+,11A,REP,483,362,388
65+,11A,UNA,345,231,231
65+,11B,DEM,7890,6834,6975
65+,11B,OTH,116,89,95
65+,11B,REP,2950,2442,2518
65+,11B,UNA,1239,942,950
65+,12A,DEM,5133,4313,4362
65+,12A,OTH,80,59,62
65+,12A,REP,1446,1147,1174
65+,12A,UNA,1044,780,755
65+,12B,DEM,1956,1403,1464
65+,12B,OTH,32,12,16
65+,12B,REP,1118,818,869
65+,12B,UNA,456,270,278
65+,13,DEM,6412,5312,5387
65+,13,OTH,88,57,57
65+,13,REP,2074,1659,1724
65+,13,UNA,1572,1132,1134
65+,14,DEM,8923,7452,7557
65+,14,OTH,111,64,76
65+,14,REP,2894,2281,2378
65+,14,UNA,1941,1345,1396
65+,15,DEM,7119,5833,5966
65+,15,OTH,142,81,95
65+,15,REP,2421,1827,1927
65+,15,UNA,2432,1583,1692
65+,16,DEM,11440,9913,9715
65+,16,OTH,136,88,98
65+,16,REP,2357,1802,1827
65+,16,UNA,2580,1884,1871
65+,17,DEM,7920,6314,6352
65+,17,OTH,117,76,71
65+,17,REP,1979,1397,1469
65+,17,UNA,2111,1316,1390
65+,18,DEM,8351,6778,6767
65+,18,OTH,102,64,72
65+,18,REP,1538,1122,1174
65+,18,UNA,1548,1034,1059
65+,19,DEM,10426,8494,8495
65+,19,OTH,132,83,96
65+,19,REP,2680,2036,2072
65+,19,UNA,2288,1553,1561
65+,20,DEM,7912,6384,6419
65+,20,OTH,71,35,44
65+,20,REP,922,629,655
65+,20,UNA,1149,739,753
65+,21,DEM,7431,5638,5702
65+,21,OTH,199,86,91
65+,21,REP,1805,1275,1352
65+,21,UNA,1211,796,798
65+,22,DEM,7646,5541,5823
65+,22,OTH,185,64,77
65+,22,REP,768,503,509
65+,22,UNA,773,485,499
65+,23,DEM,10946,8684,8959
65+,23,OTH,234,109,112
65+,23,REP,1737,1228,1351
65+,23,UNA,1057,699,722
65+,24,DEM,13433,10042,10413
65+,24,OTH,228,74,82
65+,24,REP,684,423,462
65+,24,UNA,729,396,417
65+,25,DEM,13466,10087,10591
65+,25,OTH,182,52,55
65+,25,REP,569,338,380
65+,25,UNA,564,307,337
65+,26,DEM,14196,10585,11176
65+,26,OTH,232,72,84
65+,26,REP,947,566,605
65+,26,UNA,805,446,476
65+,27A,DEM,2835,2199,2254
65+,27A,OTH,42,17,19
65+,27A,REP,667,504,520
65+,27A,UNA,284,184,185
65+,27B,DEM,3062,2432,2449
65+,27B,OTH,67,33,37
65+,27B,REP,1360,1068,1077
65+,27B,UNA,468,366,339
65+,27C,DEM,2066,1753,1739
65+,27C,OTH,26,19,23
65+,27C,REP,1774,1542,1482
65+,27C,UNA,458,359,329
65+,28,DEM,7839,6256,6396
65+,28,OTH,71,36,40
65+,28,REP,2989,2432,2494
65+,28,UNA,1129,763,763
65+,29A,DEM,1736,1387,1400
65+,29A,OTH,33,22,20
65+,29A,REP,1883,1620,1582
65+,29A,UNA,439,319,315
65+,29B,DEM,1443,1118,1173
65+,29B,OTH,28,16,16
65+,29B,REP,910,744,746
65+,29B,UNA,352,247,232
65+,29C,DEM,1927,1623,1581
65+,29C,OTH,41,29,24
65+,29C,REP,1873,1593,1502
65+,29C,UNA,580,432,391
65+,30A,DEM,6215,5387,5351
65+,30A,OTH,76,56,60
65+,30A,REP,3083,2560,2648
65+,30A,UNA,1567,1284,1231
65+,30B,DEM,2253,1899,1930
65+,30B,OTH,50,38,35
65+,30B,REP,1882,1585,1607
65+,30B,UNA,693,545,532
65+,31,DEM,4973,3981,4059
65+,31,OTH,82,57,57
65+,31,REP,5396,4495,4591
65+,31,UNA,1588,1187,1188
65+,32,DEM,5122,3899,4025
65+,32,OTH,88,54,57
65+,32,REP,2688,2087,2174
