"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","5","0","0","0","0","12","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","67","52","0","1","41","4","165","0","COUNTY TRANSFER - OUT","73","45","0","0","17","0","135"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","18","5","0","0","2","0","25","0","DEATH NOTICE","33","26","0","0","3","0","62"
"FROM ANOTHER BOARD","3","1","0","0","0","1","5","0","DUPLICATE","2","0","0","0","0","0","2"
"PROVISIONAL BALLOT","153","61","0","0","7","0","221","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","167","129","0","4","121","6","427","1","MOVED OUT OF STATE","1","1","0","0","0","0","2"
"NVRA BY MAIL","1","2","0","0","0","1","4","0","OTHER","231","216","7","3","79","2","538"
"OTHER MEANS","108","112","4","2","26","1","253","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","2","0","0","1","0","6"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","2","1","0","0","0","3","0","","","","","","","",""
"TOTAL","525","370","5","7","197","13","1,117","1","TOTAL","343","290","7","3","100","2","745"
