"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","22","13","0","0","6","2","43","0","COUNTY TRANSFER - OUT","17","17","1","0","4","2","41"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","2","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","1","0","0","0","0","1"
"FROM ANOTHER BOARD","4","4","0","0","0","0","8","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","121","119","0","0","0","0","240","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","3","0","0","0","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","37","16","0","0","10","2","65","0","MOVED OUT OF STATE","4","1","0","0","0","0","5"
"NVRA BY MAIL","29","20","0","0","24","0","73","0","OTHER","188","185","2","0","36","0","411"
"OTHER MEANS","4","5","0","0","3","1","13","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","219","180","0","0","43","5","447","0","TOTAL","211","204","3","0","40","2","460"
