"Garrett","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","2","13","0","0","3","0","18","0","COUNTY TRANSFER - OUT","3","4","0","0","1","0","8"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","7","3","0","0","0","0","10"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","1","9","0","0","0","0","10","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","1","2","0","MENTAL INCOMPETENCY","0","1","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","15","28","0","0","12","0","55","8","MOVED OUT OF STATE","2","1","1","0","0","0","4"
"NVRA BY MAIL","2","3","0","0","3","0","8","0","OTHER","22","76","0","0","12","0","110"
"OTHER MEANS","2","8","0","0","1","0","11","0","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","23","63","0","0","19","1","106","8","TOTAL","34","86","1","0","13","0","134"
