"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","2","0","0","0","0","3","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","45","29","0","1","21","1","97","4","COUNTY TRANSFER - OUT","34","18","0","0","11","0","63"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","20","21","2","1","10","0","54","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","48","30","0","0","2","0","80","7","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","0","0","0","1","0","5","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","36","26","0","0","14","0","76","2","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","15","11","0","0","6","1","33","1","OTHER","233","250","5","5","86","3","582"
"OTHER MEANS","9","7","0","0","1","0","17","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","3","0","3","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","178","126","2","2","58","2","368","14","TOTAL","267","268","5","5","97","3","645"
