"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","3","0","0","1","0","8","1","BOARD ACTION","0","1","0","0","0","0","1"
"BY MAIL","58","38","1","3","21","0","121","6","COUNTY TRANSFER - OUT","20","15","0","0","5","0","40"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","4","1","0","0","1","0","6","1","DEATH NOTICE","37","21","0","0","2","1","61"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","49","19","0","0","6","0","74","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","19","13","0","0","7","0","39","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","7","10","1","1","10","0","29","8","MOVED OUT OF STATE","7","13","0","1","4","1","26"
"NVRA BY MAIL","13","11","0","0","8","0","32","1","OTHER","29","46","2","0","24","3","104"
"OTHER MEANS","1","2","0","0","0","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","14","8","0","0","4","0","26"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","155","99","2","4","54","0","314","19","TOTAL","107","104","2","1","39","5","258"
