"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","8","2","0","0","1","0","11","2","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","15","1","0","0","3","0","19","0","COUNTY TRANSFER - OUT","972","95","1","0","60","49","1,177"
"DESIGNATED STATE AGENCIES","12","0","0","0","2","0","14","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","48","2","0","0","7","0","57","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","8","1","0","0","0","0","9","0","DUPLICATE","5","0","0","0","1","1","7"
"PROVISIONAL BALLOT","1,124","41","0","0","60","4","1,229","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","7","0","0","0","0","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","131","8","0","1","10","1","151","0","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","310","21","1","0","66","1","399"
"OTHER MEANS","53","4","0","0","6","0","63","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","3","0","0","0","0","0","3","0","","","","","","","",""
"TOTAL","1,409","59","0","1","89","5","1,563","2","TOTAL","1,287","116","2","0","127","51","1,583"
