"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","14","3","0","0","1","0","18","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","51","31","0","0","23","1","106","1","COUNTY TRANSFER - OUT","64","52","0","0","13","0","129"
"DESIGNATED STATE AGENCIES","2","4","0","0","1","0","7","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","12","6","0","0","3","0","21","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","4","5","0","0","8","0","17","0","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","159","69","0","0","10","0","238","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","1","0","0","1","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","40","17","0","0","17","0","74","0","MOVED OUT OF STATE","0","0","0","0","0","0","0"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","235","186","4","4","53","0","482"
"OTHER MEANS","81","77","2","1","15","0","176","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","2","0","3","0","","","","","","","",""
"TOTAL","366","214","2","1","81","1","665","1","TOTAL","301","238","4","4","66","0","613"
