"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","18","4","0","0","0","0","22","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","49","30","0","0","23","4","106","0","COUNTY TRANSFER - OUT","63","32","0","1","4","0","100"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","6","2","0","0","1","0","9","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","47","4","0","0","2","0","53","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","19","8","0","1","7","0","35","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","88","47","0","0","45","0","180","3","MOVED OUT OF STATE","2","6","0","0","3","1","12"
"NVRA BY MAIL","20","6","0","0","3","0","29","0","OTHER","55","67","1","1","19","1","144"
"OTHER MEANS","11","10","0","0","4","0","25","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","1","0","0","0","0","2","0","","","","","","","",""
"VOLUNTEER","0","2","0","0","1","0","3","0","","","","","","","",""
"TOTAL","259","115","0","1","86","4","465","4","TOTAL","120","105","1","2","26","2","256"
