"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","2","0","0","0","0","5","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","76","68","1","1","36","0","182","1","COUNTY TRANSFER - OUT","32","36","0","0","6","0","74"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","16","16","0","0","10","0","42","0","DEATH NOTICE","25","37","0","0","2","0","64"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","64","46","0","0","7","0","117","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","11","8","0","0","7","0","26","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","53","63","0","0","30","0","146","11","MOVED OUT OF STATE","6","10","0","0","5","0","21"
"NVRA BY MAIL","3","7","0","0","10","0","20","0","OTHER","225","307","2","0","78","0","612"
"OTHER MEANS","22","28","0","0","6","0","56","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","1","0","","","","","","","",""
"TOTAL","249","238","1","1","106","0","595","15","TOTAL","289","390","2","0","91","0","772"
