"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","63","21","0","0","6","1","26","0","117","22","COUNTY TRANSFER - OUT","130","57","0","0","1","1","57","3","249"
"DESIGNATED STATE AGENCIES","0","2","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","12","0","0","0","0","0","0","0","12"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","0","1","1","DUPLICATE","44","24","1","0","1","1","23","0","94"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","1","0","0","0","0","0","0","2"
"IN PERSON","1","1","0","0","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","671","181","3","1","151","10","365","5","1,387","250","MOVED OUT OF STATE","118","55","2","0","1","0","49","2","227"
"NVRA BY MAIL","11","0","0","0","1","0","1","0","13","3","OTHER","0","0","0","0","0","0","1","0","1"
"OTHER MEANS","1","0","0","0","0","0","2","1","4","9","VOTER REQUEST","1","1","0","0","0","0","0","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","386","146","5","0","4","2","168","0","711"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","748","205","3","1","158","11","395","6","1,527","285","TOTAL","692","284","8","0","7","4","298","5","1,298"
