"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","79","64","0","0","12","3","24","0","182","6","COUNTY TRANSFER-OUT","270","106","1","2","2","1","95","4","481"
"DESIGNATED STATE AGENCIES","135","24","0","0","0","1","24","0","184","3","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","48","14","0","0","0","0","2","1","65"
"FROM ANOTHER BOARD","5","1","0","0","0","0","1","0","7","1","DUPLICATE","4","1","0","0","0","0","4","0","9"
"PROVISIONAL BALLOT","1","0","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","5","3","0","0","0","0","1","0","9"
"IN PERSON","2","0","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","520","205","7","0","62","4","151","4","953","7","MOVED OUT OF STATE","86","50","0","0","1","0","26","4","167"
"NVRA BY MAIL","22","11","0","0","5","1","9","1","49","0","OTHER","9","3","0","0","1","0","2","0","15"
"OTHER MEANS","9","1","0","0","0","0","2","0","12","157","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","53","10","0","0","0","0","14","0","77"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","774","306","7","0","79","9","212","5","1,392","175","TOTAL","475","187","1","2","4","1","144","9","823"
