"Caroline","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","26","14","0","0","13","1","54","0","COUNTY TRANSFER - OUT","10","8","0","0","3","1","22"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","25","16","0","1","2","1","45"
"FROM ANOTHER BOARD","3","2","0","0","0","0","5","1","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","1","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","21","28","2","1","20","0","72","10","MOVED OUT OF STATE","4","3","0","0","2","0","9"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","0","4","0","0","0","0","4"
"OTHER MEANS","0","1","0","0","0","0","1","2","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","53","29","0","0","0","0","82"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","4","2","0","0","3","0","9","0","","","","","","","",""
"TOTAL","55","48","2","1","36","1","143","13","TOTAL","92","60","0","1","7","2","162"
