"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","2","BOARD ACTION","5","0","0","0","2","0","7"
"BY MAIL","304","47","3","2","98","7","461","39","COUNTY TRANSFER - OUT","500","90","2","0","103","1","696"
"DESIGNATED STATE AGENCIES","3","1","0","0","2","0","6","0","CRIMINAL CONVICTION","2","1","0","0","0","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1,292","110","3","0","42","1","1,448"
"FROM ANOTHER BOARD","35","8","1","0","10","1","55","4","DUPLICATE","5","0","0","0","0","0","5"
"PROVISIONAL BALLOT","2","0","0","0","0","0","2","3","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","10","1","0","0","0","0","11","9","MENTAL INCOMPETENCY","8","2","0","0","5","0","15"
"MOTOR VEHICLE ADMINISTRATION","713","146","4","5","246","7","1,121","100","MOVED OUT OF STATE","847","253","14","3","272","3","1,392"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","OTHER","46","4","0","0","6","1","57"
"OTHER MEANS","11","0","0","0","4","0","15","7","VOTER REQUEST","5","1","0","0","1","0","7"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","113","8","0","0","25","3","149","0","","","","","","","",""
"TOTAL","1,192","211","8","7","385","18","1,821","164","TOTAL","2,710","461","19","3","431","6","3,630"
