"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","63","85","1","1","45","0","195","18","COUNTY TRANSFER - OUT","45","45","0","0","20","0","110"
"DESIGNATED STATE AGENCIES","3","2","0","0","2","0","7","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","59","49","0","0","6","0","114"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","1"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","3","1","0","3","0","9","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","85","115","3","1","84","0","288","33","MOVED OUT OF STATE","9","12","0","0","2","0","23"
"NVRA BY MAIL","3","8","0","0","2","0","13","0","OTHER","2","1","0","0","1","0","4"
"OTHER MEANS","2","5","0","0","2","0","9","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","6","0","0","4","0","13"
"SOCIAL SERVICES","0","0","0","0","0","0","0","1","","","","","","","",""
"VOLUNTEER","4","3","0","0","3","0","10","0","","","","","","","",""
"TOTAL","162","222","5","2","141","0","532","53","TOTAL","119","114","0","0","33","0","266"
