"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","20","3","0","0","7","2","32","9","BOARD ACTION","11","4","0","0","4","0","19"
"BY MAIL","3,202","1,217","14","18","1,216","81","5,748","669","COUNTY TRANSFER - OUT","3,095","1,384","14","18","954","85","5,550"
"DESIGNATED STATE AGENCIES","171","25","2","0","62","2","262","5","CRIMINAL CONVICTION","37","11","0","2","6","0","56"
"ELDERLY / DISABLED","70","9","0","1","17","1","98","11","DEATH NOTICE","4,711","1,610","7","3","362","93","6,786"
"FROM ANOTHER BOARD","679","168","3","3","209","12","1,074","19","DUPLICATE","69","20","0","0","13","2","104"
"PROVISIONAL BALLOT","187","69","0","0","6","1","263","34","MAIL VERIFICATION (NVRA)","272","162","0","1","73","5","513"
"IN PERSON","90","29","1","0","38","5","163","37","MENTAL INCOMPETENCY","12","7","0","0","7","0","26"
"MOTOR VEHICLE ADMINISTRATION","5,124","2,058","49","47","2,680","90","10,048","1,084","MOVED OUT OF STATE","1,691","768","28","6","626","29","3,148"
"NVRA BY MAIL","236","132","2","1","138","4","513","41","OTHER","240","82","1","1","125","4","453"
"OTHER MEANS","565","170","4","3","187","12","941","541","VOTER REQUEST","10","4","0","0","3","0","17"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1,415","797","2","7","202","9","2,432"
"SOCIAL SERVICES","0","0","0","0","0","0","0","1","","","","","","","",""
"VOLUNTEER","247","53","0","0","91","4","395","0","","","","","","","",""
"TOTAL","10,591","3,933","75","73","4,651","214","19,537","2,451","TOTAL","11,563","4,849","52","38","2,375","227","19,104"
