"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","1","0","4","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","233","87","1","1","66","9","397","71","COUNTY TRANSFER - OUT","112","81","1","0","57","6","257"
"DESIGNATED STATE AGENCIES","0","0","0","0","1","0","1","0","CRIMINAL CONVICTION","4","0","0","0","2","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","151","61","0","0","16","4","232"
"FROM ANOTHER BOARD","6","2","0","0","0","0","8","1","DUPLICATE","3","0","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","40","11","0","0","12","0","63"
"IN PERSON","7","2","0","0","7","0","16","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","262","136","0","1","156","12","567","27","MOVED OUT OF STATE","17","26","0","0","14","1","58"
"NVRA BY MAIL","7","9","0","0","5","0","21","0","OTHER","14","4","0","1","4","0","23"
"OTHER MEANS","74","39","2","0","29","2","146","14","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","1","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","8","2","0","0","2","0","12","0","","","","","","","",""
"TOTAL","599","278","3","2","267","23","1,172","114","TOTAL","342","183","1","1","105","12","644"
