"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","0","0","0","0","1","5","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","294","21","0","1","44","2","362","0","COUNTY TRANSFER - OUT","910","209","2","4","97","52","1,274"
"DESIGNATED STATE AGENCIES","129","4","1","0","39","2","175","0","CRIMINAL CONVICTION","14","0","0","0","0","0","14"
"ELDERLY / DISABLED","51","5","0","0","10","0","66","0","DEATH NOTICE","611","120","2","2","18","58","811"
"FROM ANOTHER BOARD","507","77","2","2","134","7","729","0","DUPLICATE","7","3","0","0","1","1","12"
"PROVISIONAL BALLOT","24","1","0","0","1","0","26","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","16","1","0","0","2","0","19","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","697","44","2","4","160","6","913","0","MOVED OUT OF STATE","217","40","0","0","28","15","300"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","25","2","0","0","11","0","38"
"OTHER MEANS","194","11","0","0","46","3","254","0","VOTER REQUEST","0","1","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","36","0","0","0","9","0","45","0","","","","","","","",""
"TOTAL","1,952","164","5","7","445","21","2,594","0","TOTAL","1,785","375","4","6","155","126","2,451"
