"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","95","54","2","3","35","1","190","29","COUNTY TRANSFER - OUT","260","287","0","5","187","0","739"
"DESIGNATED STATE AGENCIES","2","2","1","0","6","0","11","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","5","0","0","1","2","0","8","0","DEATH NOTICE","123","105","0","0","14","0","242"
"FROM ANOTHER BOARD","47","37","0","0","37","0","121","12","DUPLICATE","3","3","0","0","1","0","7"
"PROVISIONAL BALLOT","26","20","0","0","0","0","46","1","MAIL VERIFICATION (NVRA)","0","1","0","0","0","0","1"
"IN PERSON","7","3","0","0","6","0","16","17","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","193","118","3","0","134","0","448","23","MOVED OUT OF STATE","30","31","2","0","11","0","74"
"NVRA BY MAIL","7","4","0","0","4","0","15","33","OTHER","3","1","0","0","3","0","7"
"OTHER MEANS","20","19","0","1","3","0","43","13","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","34","20","0","1","15","0","70"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","0","0","2","0","","","","","","","",""
"TOTAL","404","257","6","5","227","1","900","128","TOTAL","453","449","2","6","231","0","1,141"
