"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","4","1","0","0","3","0","8","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","855","232","0","6","388","23","1,504","111","COUNTY TRANSFER - OUT","254","81","1","2","100","2","440"
"DESIGNATED STATE AGENCIES","5","1","0","0","2","0","8","1","CRIMINAL CONVICTION","3","1","0","0","0","0","4"
"ELDERLY / DISABLED","7","0","0","0","1","0","8","10","DEATH NOTICE","582","302","0","0","123","3","1,010"
"FROM ANOTHER BOARD","18","5","0","0","4","1","28","1","DUPLICATE","11","1","0","0","3","0","15"
"PROVISIONAL BALLOT","133","35","0","0","4","1","173","24","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","10","2","0","0","3","1","16","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","1,057","296","9","8","606","28","2,004","233","MOVED OUT OF STATE","249","135","7","1","143","2","537"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","87","17","0","0","58","2","164"
"OTHER MEANS","179","53","1","2","62","1","298","110","VOTER REQUEST","1","0","0","0","1","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","416","94","2","1","69","3","585"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","28","1","0","0","12","1","42","0","","","","","","","",""
"TOTAL","2,296","626","10","16","1,085","56","4,089","492","TOTAL","1,603","631","10","4","497","12","2,757"
