"Queen Anne's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","7","5","0","0","4","2","18","0","COUNTY TRANSFER - OUT","15","23","1","0","7","1","47"
"DESIGNATED STATE AGENCIES","1","1","0","0","0","0","2","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","3","4","0","0","0","0","7"
"FROM ANOTHER BOARD","2","0","0","0","1","0","3","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","28","22","1","2","33","0","86","0","MOVED OUT OF STATE","12","9","0","0","6","0","27"
"NVRA BY MAIL","16","16","0","0","9","1","42","0","OTHER","2","5","0","0","1","0","8"
"OTHER MEANS","1","1","0","0","0","0","2","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","105","124","0","2","58","2","291"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","55","45","1","2","47","3","153","0","TOTAL","137","165","1","2","72","3","380"
