"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","3","0","0","0","0","0","3","1","BOARD ACTION","2","0","0","0","1","0","3"
"BY MAIL","112","33","0","0","18","4","167","47","COUNTY TRANSFER - OUT","62","28","0","1","14","1","106"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","47","23","0","0","10","1","81"
"FROM ANOTHER BOARD","2","3","0","0","0","0","5","0","DUPLICATE","9","1","0","0","0","0","10"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","2","0","0","0","0","7","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","221","61","0","0","83","5","370","37","MOVED OUT OF STATE","30","24","0","0","15","3","72"
"NVRA BY MAIL","15","6","0","0","0","0","21","1","OTHER","1","1","0","0","0","0","2"
"OTHER MEANS","4","1","0","0","1","2","8","4","VOTER REQUEST","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","1","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","11","2","0","0","1","0","14","0","","","","","","","",""
"TOTAL","373","108","0","0","103","11","595","92","TOTAL","152","77","0","1","42","5","277"
