"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","3","0","0","0","0","0","8","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","10","12","0","0","1","6","1","30","8","COUNTY TRANSFER - OUT","58","37","0","0","1","31","2","129"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","6","2","0","0","0","2","0","10"
"ELDERLY / DISABLED","2","0","0","0","0","2","0","4","0","DEATH NOTICE","0","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","4","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","49","25","1","0","0","9","0","84","4","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","7","5","0","0","0","0","0","12","23","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","60","39","0","0","2","52","1","154","40","MOVED OUT OF STATE","0","0","0","0","0","0","0","0"
"NVRA BY MAIL","1","2","0","0","0","1","0","4","3","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","4","0","1","0","0","4","1","10","10","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","0","0","0","0","1","0","4","0","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","142","87","2","0","3","75","3","312","92","TOTAL","64","40","0","0","1","33","2","140"
