"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","7","15","0","0","1","13","0","36","6","COUNTY TRANSFER - OUT","49","81","2","0","2","33","2","169"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","1","2","0","1","0","1","0","5","0","DEATH NOTICE","8","6","0","0","0","0","0","14"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","51","75","0","0","1","40","3","170","31","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","4","5","0","0","0","2","0","11","23","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","36","63","1","2","1","41","0","144","32","MOVED OUT OF STATE","6","9","0","0","1","4","0","20"
"NVRA BY MAIL","1","2","0","0","0","1","0","4","0","OTHER","1","0","0","0","0","0","0","1"
"OTHER MEANS","18","20","0","0","0","15","2","55","6","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","2","0","0","0","0","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","118","182","1","3","3","113","5","425","98","TOTAL","67","98","2","0","3","37","2","209"
