"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","10","14","0","0","1","12","0","37","0","COUNTY TRANSFER - OUT","54","20","0","0","0","20","1","95"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","1","0","0","0","0","0","2"
"ELDERLY / DISABLED","0","3","0","0","1","1","0","5","0","DEATH NOTICE","2","0","0","0","0","0","0","2"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","43","28","0","0","0","16","1","88","33","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","1","5","0","0","0","1","0","7","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","4","3","0","0","2","4","0","13","2","MOVED OUT OF STATE","0","0","0","0","0","1","0","1"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","4","8","0","0","0","6","0","18","0","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","3","0","0","0","0","0","0","3","0","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","0","0","3","0","","","","","","","","",""
"TOTAL","66","63","0","0","4","40","1","174","36","TOTAL","57","21","0","0","0","21","1","100"
