"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","9","1","0","0","0","3","0","13","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","239","128","1","1","3","96","0","468","4","COUNTY TRANSFER-OUT","1,028","281","6","0","10","248","8","1,581"
"DESIGNATED STATE AGENCIES","4","0","0","0","0","0","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","16","7","1","0","0","9","0","33","0","DEATH NOTICE","44","27","0","0","0","0","0","71"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","0","DUPLICATE","13","3","0","0","0","4","0","20"
"PROVISIONAL BALLOT","919","231","4","1","3","187","10","1,355","6","MAIL VERIFICATION (NVRA)","22","5","0","0","1","6","0","34"
"IN PERSON","10","1","0","0","0","4","0","15","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","388","178","4","0","8","181","3","762","3","MOVED OUT OF STATE","30","16","0","0","0","6","1","53"
"NVRA BY MAIL","34","21","0","2","2","27","3","89","0","OTHER","12","4","0","0","0","6","1","23"
"OTHER MEANS","31","11","0","0","0","58","0","100","328","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","55","15","0","0","1","14","1","86"
"SOCIAL SERVICES","9","2","0","0","0","2","0","13","4","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","1,660","580","10","4","16","567","16","2,853","347","TOTAL","1,204","351","6","0","12","285","11","1,869"
