"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","54","58","0","2","2","52","1","169","15","COUNTY TRANSFER - OUT","213","161","3","0","2","102","0","481"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","1","0","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","11","17","0","0","0","6","0","34"
"FROM ANOTHER BOARD","1","0","0","0","0","0","0","1","2","DUPLICATE","1","0","0","0","0","1","0","2"
"PROVISIONAL BALLOT","128","122","2","0","5","62","0","319","17","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","7","3","1","0","0","7","0","18","64","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","106","133","4","1","2","119","0","365","30","MOVED OUT OF STATE","19","25","0","0","0","8","0","52"
"NVRA BY MAIL","13","15","0","0","0","13","0","41","0","OTHER","0","1","0","0","0","2","0","3"
"OTHER MEANS","22","9","0","0","1","21","1","54","6","VOTER REQUEST","0","4","0","0","0","0","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","5","0","1","0","0","1","0","7","1","","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","0","1","0","","","","","","","","",""
"TOTAL","338","341","8","3","10","275","2","977","135","TOTAL","245","208","3","0","2","119","0","577"
