"Cecil","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","7","14","0","0","1","6","2","30","10","COUNTY TRANSFER - OUT","22","28","0","0","1","10","1","62"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","0","2","0","3"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","DEATH NOTICE","12","12","0","0","0","2","0","26"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","0","0","1"
"PROVISIONAL BALLOT","22","21","0","1","0","13","0","57","121","MAIL VERIFICATION (NVRA)","0","2","0","0","0","0","0","2"
"IN PERSON","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","41","45","0","0","0","58","0","144","8","MOVED OUT OF STATE","5","6","0","0","0","5","0","16"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","3","3","0","0","0","2","0","8","9","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","0","1"
"SOCIAL SERVICES","2","0","0","0","0","2","0","4","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","76","83","0","1","1","81","2","244","149","TOTAL","41","49","0","0","1","19","1","111"
