"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","18","27","0","0","0","12","1","58","2","COUNTY TRANSFER - OUT","27","27","2","0","0","10","0","66"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","2","0","0","0","0","1","0","3","0","DEATH NOTICE","53","35","0","0","1","6","0","95"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","41","35","2","0","2","6","0","86","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","3","9","0","0","0","4","0","16","5","MENTAL INCOMPETENCY","0","1","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","72","88","2","0","4","74","0","240","29","MOVED OUT OF STATE","7","14","0","0","0","3","1","25"
"NVRA BY MAIL","2","2","0","0","0","3","0","7","0","OTHER","3","0","0","0","0","0","0","3"
"OTHER MEANS","1","2","0","0","0","2","0","5","1","VOTER REQUEST","0","0","0","0","0","1","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","0","2","0","4","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","142","163","4","0","6","104","1","420","39","TOTAL","90","77","2","0","1","20","1","191"
