"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","0","0","0","0","2","0","9","1","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","222","96","3","0","3","126","0","450","119","COUNTY TRANSFER - OUT","570","170","2","1","2","197","4","946"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","1","2","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","27","2","0","0","2","6","1","38","1","DEATH NOTICE","0","0","0","0","0","1","0","1"
"FROM ANOTHER BOARD","1","0","0","0","0","1","0","2","1","DUPLICATE","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","688","151","3","0","2","189","1","1,034","1,023","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","7","0","0","0","0","3","0","10","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","117","25","1","0","2","58","2","205","105","MOVED OUT OF STATE","126","47","1","0","2","59","0","235"
"NVRA BY MAIL","0","0","0","0","0","1","0","1","0","OTHER","0","0","0","0","0","1","0","1"
"OTHER MEANS","30","9","0","0","0","55","0","94","23","VOTER REQUEST","0","0","0","0","0","2","0","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","9","0","0","0","0","2","0","11","1","","","","","","","","",""
"VOLUNTEER","7","2","0","0","0","6","0","15","0","","","","","","","","",""
"TOTAL","1,115","286","7","0","9","449","4","1,870","1,277","TOTAL","696","217","3","1","4","260","4","1,185"
