"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","0","0","0","0","0","0","2","0","BOARD ACTION","0","0","0","0","0","0","0","0"
"BY MAIL","89","42","1","1","0","36","0","169","15","COUNTY TRANSFER - OUT","142","27","0","0","0","23","1","193"
"DESIGNATED STATE AGENCIES","2","0","0","0","0","0","0","2","0","CRIMINAL CONVICTION","2","0","0","0","0","0","0","2"
"ELDERLY / DISABLED","1","0","0","0","0","1","0","2","0","DEATH NOTICE","0","2","0","0","0","0","0","2"
"FROM ANOTHER BOARD","2","0","0","0","0","1","0","3","0","DUPLICATE","2","0","0","0","0","0","0","2"
"PROVISIONAL BALLOT","234","25","0","0","0","20","0","279","358","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0"
"IN PERSON","41","7","1","0","0","3","1","53","24","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","179","58","1","0","0","56","2","296","80","MOVED OUT OF STATE","1","0","0","0","0","0","0","1"
"NVRA BY MAIL","2","1","0","0","0","1","0","4","0","OTHER","0","0","0","0","0","0","0","0"
"OTHER MEANS","37","9","0","0","0","38","0","84","2","VOTER REQUEST","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","1","0","0","0","0","0","2","0","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"TOTAL","590","143","3","1","0","156","3","896","479","TOTAL","147","29","0","0","0","23","1","200"
