"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","99","49","1","0","9","2","44","0","204","15","COUNTY TRANSFER - OUT","99","84","1","0","0","3","42","3","232"
"DESIGNATED STATE AGENCIES","9","9","1","0","0","0","4","0","23","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","2","0","0","0","0","0","1","0","3"
"FROM ANOTHER BOARD","2","2","0","0","1","0","0","0","5","0","DUPLICATE","0","0","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","31","15","1","0","0","1","12","1","61"
"IN PERSON","4","2","0","0","0","0","1","0","7","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","174","84","1","0","43","3","69","4","378","45","MOVED OUT OF STATE","41","22","0","0","0","0","28","2","93"
"NVRA BY MAIL","4","2","0","0","2","0","3","0","11","0","OTHER","1","0","0","0","0","0","2","0","3"
"OTHER MEANS","0","1","0","0","1","0","2","0","4","27","VOTER REQUEST","2","1","0","0","0","0","0","0","3"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","87","33","0","0","2","2","28","0","152"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","70","51","1","0","18","1","70","1","212","0","","","","","","","","","",""
"TOTAL","362","200","4","0","74","6","193","5","844","88","TOTAL","263","155","2","0","2","6","113","6","547"
