"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","15","5","0","0","0","0","0","0","20","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","218","176","0","1","12","6","87","5","505","1","COUNTY TRANSFER-OUT","336","137","6","0","8","2","77","5","571"
"DESIGNATED STATE AGENCIES","85","19","0","0","1","0","19","1","125","3","CRIMINAL CONVICTION","12","3","0","0","0","0","4","0","19"
"ELDERLY / DISABLED","1","1","0","0","1","0","0","0","3","0","DEATH NOTICE","20","8","0","0","0","0","2","0","30"
"FROM ANOTHER BOARD","2","2","0","0","0","0","0","0","4","0","DUPLICATE","17","5","0","0","0","0","4","0","26"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","40","11","0","0","2","0","9","2","64"
"IN PERSON","8","6","0","0","2","0","3","0","19","0","MENTAL INCOMPETENCY","1","0","0","0","0","0","0","0","1"
"MOTOR VEHICLE ADMINISTRATION","552","251","3","2","84","10","192","6","1,100","10","MOVED OUT OF STATE","20","15","0","0","0","1","16","0","52"
"NVRA BY MAIL","48","19","0","0","8","0","15","0","90","0","OTHER","16","2","0","0","1","0","4","0","23"
"OTHER MEANS","10","2","0","0","0","0","3","0","15","195","VOTER REQUEST","3","0","0","0","1","0","0","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","24","3","0","0","0","0","3","0","30"
"SOCIAL SERVICES","3","1","0","0","0","0","0","0","4","4","","","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"TOTAL","942","482","3","3","108","16","319","12","1,885","213","TOTAL","489","184","6","0","12","3","119","7","820"
