"Baltimore City","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","0","0","3","0","BOARD ACTION","3","1","0","1","0","0","5"
"BY MAIL","133","29","2","2","35","3","204","1","COUNTY TRANSFER - OUT","1,051","212","9","9","194","10","1,485"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","1","0","0","0","0","0","1"
"FROM ANOTHER BOARD","24","3","0","2","9","2","40","0","DUPLICATE","7","2","0","0","3","0","12"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","6","0","0","0","3","0","9","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","492","117","2","4","190","9","814","0","MOVED OUT OF STATE","2","0","0","0","0","0","2"
"NVRA BY MAIL","3","1","0","0","2","0","6","0","OTHER","7","0","0","0","2","0","9"
"OTHER MEANS","11","1","0","0","2","0","14","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","5","1","0","0","0","0","6","0","","","","","","","",""
"TOTAL","678","153","4","8","241","14","1,098","3","TOTAL","1,072","215","9","10","199","10","1,515"
