"Somerset","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","7","7","0","1","6","0","21","0","COUNTY TRANSFER - OUT","9","1","0","0","4","1","15"
"DESIGNATED STATE AGENCIES","1","0","0","0","0","0","1","0","CRIMINAL CONVICTION","1","1","0","0","1","0","3"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","10","3","0","0","1","0","14"
"FROM ANOTHER BOARD","0","0","0","0","1","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","11","3","0","0","3","0","17","0","MOVED OUT OF STATE","1","0","0","0","0","0","1"
"NVRA BY MAIL","1","0","0","0","0","0","1","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","0","0","0","0","1","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","1","0","0","0","0","0","1","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","24","10","0","1","11","0","46","0","TOTAL","21","5","0","0","6","1","33"
