"Dorchester","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","1","0","0","0","0","1"
"BY MAIL","7","5","0","0","0","0","12","0","COUNTY TRANSFER - OUT","7","4","0","0","4","1","16"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","1","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","15","2","0","0","1","0","18"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","0","1","0","0","0","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","14","22","0","0","17","0","53","9","MOVED OUT OF STATE","0","0","0","0","2","0","2"
"NVRA BY MAIL","4","2","0","0","2","0","8","0","OTHER","","","","","","","0"
"OTHER MEANS","0","0","0","0","0","0","0","1","VOTER REQUEST","","","","","","","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","42","29","0","0","20","3","94"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","26","30","0","0","19","0","75","10","TOTAL","64","37","0","0","27","4","132"
