"Howard","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","121","62","3","0","57","1","244","6","COUNTY TRANSFER - OUT","84","49","2","1","35","1","172"
"DESIGNATED STATE AGENCIES","13","6","0","1","10","0","30","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","33","23","0","0","6","0","62"
"FROM ANOTHER BOARD","1","0","0","0","2","1","4","0","DUPLICATE","12","13","0","0","5","0","30"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2","6","1","0","5","0","14"
"IN PERSON","6","2","0","0","0","0","8","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","184","117","1","3","146","5","456","17","MOVED OUT OF STATE","37","21","0","1","10","1","70"
"NVRA BY MAIL","10","5","0","0","4","0","19","0","OTHER","2","0","0","0","2","0","4"
"OTHER MEANS","2","0","0","0","1","0","3","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","2","0","0","3","0","5"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","10","2","0","0","2","0","14","0","","","","","","","",""
"TOTAL","347","195","4","4","222","7","779","25","TOTAL","170","114","3","2","66","2","357"
