"Kent","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","4","1","0","0","1","1","7","1","COUNTY TRANSFER - OUT","1","1","0","0","1","0","3"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","9","4","0","0","1","0","14"
"FROM ANOTHER BOARD","1","0","0","0","0","0","1","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","3","0","0","0","2","0","5"
"IN PERSON","2","1","0","0","0","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","13","11","0","0","6","2","32","2","MOVED OUT OF STATE","1","3","0","0","1","0","5"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","0","0","0","0","0","0","0"
"OTHER MEANS","1","0","0","0","0","0","1","13","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","5","0","0","0","1","0","6"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","22","13","0","0","7","3","45","16","TOTAL","19","8","0","0","6","0","33"
