"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","2","0","0","1","0","5","1","BOARD ACTION","2","0","0","0","1","0","3"
"BY MAIL","21","20","0","0","7","0","48","7","COUNTY TRANSFER - OUT","12","8","0","0","10","1","31"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","3","1","0","0","0","2","6","0","DUPLICATE","0","0","0","0","0","0","0"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","4","0","0","0","0","6","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","58","40","1","2","26","2","129","23","MOVED OUT OF STATE","5","3","0","0","3","1","12"
"NVRA BY MAIL","3","2","0","0","1","0","6","0","OTHER","0","1","0","0","0","0","1"
"OTHER MEANS","0","6","0","0","0","1","7","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","1","0","0","0","0","0","1"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","8","1","0","0","0","0","9","0","","","","","","","",""
"TOTAL","97","76","1","2","35","5","216","32","TOTAL","20","12","0","0","14","2","48"
