"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","1","0","0","5","0","7","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","131","16","0","0","26","1","174","0","COUNTY TRANSFER - OUT","293","65","1","2","54","37","452"
"DESIGNATED STATE AGENCIES","43","4","0","0","18","0","65","0","CRIMINAL CONVICTION","34","5","0","0","7","3","49"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","161","24","0","0","7","10","202"
"FROM ANOTHER BOARD","275","50","1","1","75","4","406","1","DUPLICATE","15","2","0","0","2","0","19"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","1,275","327","5","1","222","176","2,006"
"IN PERSON","11","2","0","0","3","0","16","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","402","35","1","0","125","7","570","0","MOVED OUT OF STATE","110","45","0","0","18","22","195"
"NVRA BY MAIL","2","1","0","0","1","0","4","0","OTHER","25","5","0","0","2","1","33"
"OTHER MEANS","91","12","0","0","27","2","132","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","100","13","0","0","24","5","142"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","9","0","0","0","2","0","11","0","","","","","","","",""
"TOTAL","966","121","2","1","282","14","1,386","1","TOTAL","2,013","486","6","3","336","254","3,098"
