"Baltimore Co.","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","10","0","1","0","2","0","13","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","756","200","3","5","141","14","1,119","1","COUNTY TRANSFER-OUT","298","120","1","0","79","8","506"
"DESIGNATED STATE AGENCIES","3","0","0","0","1","0","4","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","291","69","0","0","13","3","376"
"FROM ANOTHER BOARD","7","9","0","0","0","0","16","0","DUPLICATE","10","5","0","0","3","0","18"
"PROVISIONAL BALLOT","1","1","0","0","0","0","2","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","5","2","0","0","2","0","9","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","580","222","9","6","278","12","1,107","7","MOVED OUT OF STATE","50","41","0","0","16","2","109"
"NVRA BY MAIL","7","5","0","0","4","0","16","1","OTHER","4","5","1","0","2","0","12"
"OTHER MEANS","26","7","1","0","7","0","41","115","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","14","3","0","0","8","0","25"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","2","0","0","0","1","0","3","0","","","","","","","",""
"TOTAL","1,397","446","14","11","436","26","2,330","124","TOTAL","667","243","2","0","121","13","1,046"
