"","","","","","","","","","","","","","","","","",""
"","SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","4","3","0","0","0","0","7","8","BOARD ACTION","0","0","0","0","0","0","0"
"","BY MAIL","401","162","1","4","170","15","753","184","CONFIRMATION MAIL","4","4","0","0","4","0","12"
"","DESIGNATED STATE AGENCIES","18","23","0","0","17","0","58","15","COUNTY TRANSFER - OUT","3,541","1,477","27","47","1,428","45","6,565"
"","ELDERLY / DISABLED","1","0","0","0","1","0","2","8","CRIMINAL CONVICTION","20","8","0","0","6","0","34"
"","FROM ANOTHER BOARD","20","19","0","1","8","2","50","36","DEATH NOTICE","652","257","0","1","80","8","998"
"","PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","DUPLICATE","31","9","0","0","2","1","43"
"","IN PERSON","48","15","0","1","32","2","98","13","MAIL VERIFICATION (NVRA)","2,194","700","11","29","867","68","3,869"
"","MOTOR VEHICLE ADMINISTRATION","10959","4628","70","228","6259","98","22,242","1,688","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"","NVRA BY MAIL","71","40","0","1","39","3","154","45","MOVED OUT OF STATE","420","295","1","3","186","6","911"
"","ONLINE REGISTRATION","691","314","6","17","184","11","1,223","34","OTHER","39","15","0","2","19","1","76"
"","OTHER MEANS","87","27","1","2","58","1","176","130","VOTER REQUEST","15","4","0","0","4","1","24"
"","RECRUITING","0","2","0","0","2","0","4","2","","","","","","","","0"
"","SOCIAL SERVICES","26","9","0","0","14","0","49","17","","","","","","","",""
"","VOLUNTEER","92","20","1","1","21","1","136","0","","","","","","","",""
"","TOTAL","12,418","5,262","79","255","6,805","133","24,952","2,181","TOTAL","6,916","2,769","39","82","2,596","130","12,532"
