"SUMMARY","REMOVALS
NEW REGISTRATION BY PARTY","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","WCP","BAR","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","157","BOARD ACTION","30","24","0","1","0","2","19","0","76"
"BY MAIL","229","87","1","1","0","0","84","6","408","227","CONFIRMATION MAIL","6","3","0","0","0","0","2","0","11"
"DESIGNATED STATE AGENCIES","144","31","0","0","1","0","94","18","288","14","COUNTY TRANSFER - OUT","8,348","2,662","28","79","13","5","3,064","144","14,343"
"ELDERLY / DISABLED / SOC SEC","167","37","0","1","5","1","119","37","367","0","CRIMINAL CONVICTION","65","16","1","0","0","0","18","3","103"
"ERIC REPORT","4303","1244","12","35","6","3","1437","69","7,109","2","DEATH NOTICE","1,902","968","1","8","1","2","374","47","3,303"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","0","0","DUPLICATE","165","47","1","0","0","0","38","6","257"
"PROVISIONAL BALLOT","0","1","0","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","13,599","6,648","63","181","18","6","6,683","285","27,483"
"IN PERSON","10","1","0","0","0","0","2","0","13","5","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","8897","3119","44","153","33","8","5513","142","17,909","783","MOVED OUT OF STATE","303","310","0","6","1","0","180","8","808"
"NVRA BY MAIL","3","3","0","0","0","0","0","0","6","2","OTHER","35","19","2","1","0","0","12","3","72"
"ONLINE REGISTRATION","417","112","5","10","5","1","187","8","745","1","VOTER REQUEST","21","14","1","0","0","0","15","2","53"
"OTHER MEANS","98","25","0","5","0","0","54","2","184","213","","","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","57","30","1","2","2","0","43","0","135","0","","","","","","","","","",""
"TOTAL","14,325","4,690","63","207","52","13","7,533","282","27,165","1,404","TOTAL","24,474","10,711","97","276","33","15","10,405","498","46,509"
