"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","1","0","0","0","0","1","2","BOARD ACTION","1","0","0","0","1","1","3"
"BY MAIL","388","165","2","5","208","17","785","102","CONFIRMATION MAIL","9","0","0","0","3","0","12"
"DESIGNATED STATE AGENCIES","10","4","0","1","3","0","18","108","COUNTY TRANSFER - OUT","3,291","1,312","23","46","1,400","30","6,102"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","2","CRIMINAL CONVICTION","245","47","3","1","67","0+","363"
"FROM ANOTHER BOARD","10","10","0","0","4","2","26","8","DEATH NOTICE","1,212","411","2","0","127","19","1,771"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","DUPLICATE","19","12","0","1","3","2","37"
"IN PERSON","20","13","0","0","15","0","48","1","MAIL VERIFICATION (NVRA)","1,261","487","10","16","660","21","2,455"
"MOTOR VEHICLE ADMINISTRATION","10287","4351","97","211","6320","95","21,361","1,415","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"NVRA BY MAIL","39","23","0","2","52","0","116","15","MOVED OUT OF STATE","365","281","3","6","166","11","832"
"ONLINE REGISTRATION","357","135","0","2","130","3","627","11","OTHER","37","16","0","1","29","1","84"
"OTHER MEANS","205","111","3","3","198","7","527","392","VOTER REQUEST","8","3","0","1","4","0","16"
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","","0"
"SOCIAL SERVICES","40","11","0","0","28","1","80","28","","","","","","","",""
"VOLUNTEER","44","43","0","2","47","2","138","0","","","","","","","",""
"TOTAL","11,401","4,867","102","226","7,005","127","23,728","2,085","TOTAL","6,448","2,569","41","72","2,460","85","11,675"
