"","","","","","","","","","","","","","",""
"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","DEM","REP","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","2","1","0","0","0","3","2","BOARD ACTION","1","0","0","1","0","2"
"BY MAIL","144","57","0","76","8","285","339","CONFIRMATION MAIL","3","1","0","1","0","5"
"DESIGNATED STATE AGENCIES","235","74","1","177","11","498","84","COUNTY TRANSFER - OUT","3,072","991","28","1,288","89","5,468"
"ELDERLY / DISABLED / SOC SEC","101","28","1","64","5","199","0","CRIMINAL CONVICTION","17","2","0","5","2","26"
"ERIC REPORT","3","0","0","0","0","3","4","DEATH NOTICE","2,639","1,313","9","579","47","4,587"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","DUPLICATE","228","76","0","84","6","394"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","864","233","7","292","56","1,452"
"IN PERSON","5","5","0","7","0","17","0","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","7422","2525","120","5923","281","16,271","264","MOVED OUT OF STATE","127","69","2","56","7","261"
"NVRA BY MAIL","7","0","0","6","0","13","1","OTHER","22","6","0","11","1","40"
"ONLINE REGISTRATION","201","66","5","111","6","389","1","VOTER REQUEST","10","5","0","8","2","25"
"OTHER MEANS","15","12","0","14","1","42","23","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","","","","","","",""
"SAME DAY REGISTRATION","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","1","0","0","0","0","1","0","","","","","","",""
"VOLUNTEER","7","3","0","7","0","17","0","","","","","","",""
"TOTAL","8,143","2,771","127","6,385","312","17,738","718","TOTAL","6,983","2,696","46","2,325","210","12,260"
