"SUMMARY","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","",""
"","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","AME","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","77","30","0","0","1","46","6","160","90","BOARD ACTION","2","2","0","0","0","7","0","11"
"BY MAIL","3560","1252","3","12","31","1511","62","6,431","1,584","COUNTY TRANSFER - OUT","6,239","2,004","0","41","51","1,922","91","10,348"
"DESIGNATED STATE AGENCIES","78","24","0","2","1","39","1","145","5","CRIMINAL CONVICTION","78","18","0","0","1","26","1","124"
"ELDERLY / DISABLED","11","2","0","0","0","1","0","14","27","DEATH NOTICE","3,344","1,453","0","5","3","422","42","5,269"
"FROM ANOTHER BOARD","52","23","0","0","0","20","2","97","45","DUPLICATE","184","77","0","0","2","63","4","330"
"PROVISIONAL BALLOT","8","0","0","0","0","2","0","10","2","MAIL VERIFICATION (NVRA)","5,276","2,876","0","38","32","1,405","279","9,906"
"IN PERSON","191","104","0","0","2","73","0","370","32","MENTAL INCOMPETENCY","1","3","0","0","0","0","0","4"
"MOTOR VEHICLE ADMINISTRATION","9764","3243","1","18","25","4833","52","17,936","11,660","MOVED OUT OF STATE","821","555","0","5","10","335","10","1,736"
"NVRA BY MAIL","251","201","0","4","7","207","8","678","34","OTHER","194","55","0","3","2","75","0","329"
"ONLINE REGISTRATION","1609","744","8","0","0","818","31","3,210","79","VOTER REQUEST","14","4","0","0","0","2","1","21"
"OTHER MEANS","2142","483","0","14","23","626","26","3,314","1,318","CONFIRMATION MAIL","14","19","0","0","0","5","0","38"
"RECRUITING","0","0","0","0","0","0","0","0","0","","","","","","","","",""
"SOCIAL SERVICES","157","24","0","0","1","70","0","252","74","","","","","","","","",""
"VOLUNTEER","196","42","0","0","1","53","1","293","0","","","","","","","","",""
"TOTAL","18,096","6,172","12","50","92","8,299","189","32,910","14,950","TOTAL","16,167","7,066","0","92","101","4,262","428","28,116"
