"","","","","","","","","","","","","","","",""
"SUMMARY","","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","","41","11","0","11","2","65","74","BOARD ACTION","2","0","0","0","0","2"
"BY MAIL","","452","127","0","177","14","770","392","CONFIRMATION MAIL","3","3","0","2","0","8"
"DESIGNATED STATE AGENCIES","","293","65","1","154","22","535","19","COUNTY TRANSFER - OUT","4,360","1,418","1","1,553","137","7,469"
"ELDERLY / DISABLED / SOC SEC","","693","126","3","318","65","1,205","14","CRIMINAL CONVICTION","81","20","1","37","11","150"
"ERIC REPORT","","0","0","0","0","0","0","1","DEATH NOTICE","2,313","1,097","0","420","46","3,876"
"FROM ANOTHER BOARD","","0","0","0","0","0","0","0","DUPLICATE","54","6","0","12","3","75"
"PROVISIONAL BALLOT","","1","0","0","0","0","1","1","MAIL VERIFICATION (NVRA)","957","500","2","466","41","1,966"
"IN PERSON","","61","21","0","19","1","102","11","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","","8347","3266","17","4924","154","16,708","1,491","MOVED OUT OF STATE","299","196","0","131","7","633"
"NVRA BY MAIL","","35","15","0","23","14","87","22","OTHER","51","10","0","28","3","92"
"ONLINE REGISTRATION","","882","264","3","370","14","1,533","76","VOTER REQUEST","20","12","0","13","1","46"
"OTHER MEANS","","208","36","0","83","3","330","265","","","","","","",""
"RECRUITING","","0","0","0","0","0","0","0","","","","","","",""
"SOCIAL SERVICES","","4","2","0","0","0","6","1","","","","","","",""
"VOLUNTEER","","124","16","0","48","2","190","0","","","","","","",""
"TOTAL","","11,141","3,949","24","6,127","291","21,532","2,367","TOTAL","8,140","3,262","4","2,662","249","14,317"
