"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","5","4","0","0","0","0","9","2","BOARD ACTION","1","0","0","0","0","0","1"
"BY MAIL","446","147","0","7","154","8","762","195","CONFIRMATION MAIL","22","20","0","1","12","0","55"
"DESIGNATED STATE AGENCIES","179","43","1","3","76","3","305","54","COUNTY TRANSFER - OUT","2,336","845","17","39","735","24","3,996"
"ELDERLY / DISABLED / SOC SEC","229","61","3","5","124","10","432","3","CRIMINAL CONVICTION","6","0","0","0","5","0","11"
"ERIC REPORT","325","114","5","3","107","6","560","6","DEATH NOTICE","1,952","941","4","5","276","36","3,214"
"FROM ANOTHER BOARD","24","6","0","0","6","2","38","15","DUPLICATE","67","19","1","1","23","3","114"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","5,761","2,603","47","96","2,337","90","10,934"
"IN PERSON","62","18","0","1","18","1","100","15","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5405","2340","34","122","3167","88","11,156","424","MOVED OUT OF STATE","336","306","6","7","165","5","825"
"NVRA BY MAIL","20","5","0","0","6","0","31","9","OTHER","22","7","0","0","14","2","45"
"ONLINE REGISTRATION","445","123","6","6","166","7","753","12","VOTER REQUEST","13","7","1","0","8","1","30"
"OTHER MEANS","49","23","0","2","25","1","100","88","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","2","","","","","","","",""
"SOCIAL SERVICES","4","1","0","0","5","0","10","1","","","","","","","",""
"VOLUNTEER","35","7","0","0","8","0","50","0","","","","","","","",""
"TOTAL","7,228","2,892","49","149","3,862","126","14,306","827","TOTAL","10,516","4,748","76","149","3,575","161","19,225"
