"","","","","","","","","","","","","","","",""
"","NEW REGISTRATION BY PARTY
REMOVALS
SUMMARY","","","","","","","","","","","","","",""
"","","DEM","REP","","BAR UNAF","OTH","TOTAL","DUPS","","DEM","REP","","BAR UNAF","OTH","TOTAL"
"","ABSENTEE BALLOT (FPCA)","0","0","0","2","0","2","1","BOARD ACTION","0","0","0","0","0","0"
"","BY MAIL","378","122","0","185","15","700","341","CONFIRMATION MAIL","29","4","0","9","1","43"
"","DESIGNATED STATE AGENCIES","188","45","0","92","18","343","72","COUNTY TRANSFER - OUT","3,710","1,251","0","1,373","78","6,412"
"","ELDERLY / DISABLED / SOC SEC","159","40","0","103","14","316","5","CRIMINAL CONVICTION","109","23","0","28","1","161"
"","ERIC REPORT","74","18","0","33","1","126","0","DEATH NOTICE","1,500","675","0","230","27","2,432"
"","FROM ANOTHER BOARD","0","0","0","0","0","0","0","DUPLICATE","1","0","0","0","0","1"
"","PROVISIONAL BALLOT","1","0","0","0","0","1","2","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0"
"","IN PERSON","10","8","0","4","0","22","1","MENTAL INCOMPETENCY","0","0","0","0","0","0"
"","MOTOR VEHICLE ADMINISTRATION","9056","3359","3","4786","303","17,507","542","MOVED OUT OF STATE","581","473","0","285","29","1,368"
"","NVRA BY MAIL","18","5","0","11","2","36","6","OTHER","49","6","0","25","7","87"
"","ONLINE REGISTRATION","182","88","1","96","6","373","5","VOTER REQUEST","9","3","0","11","4","27"
"","OTHER MEANS","139","21","0","48","7","215","243","","","","","","",""
"","RECRUITING","0","0","0","0","0","0","0","","","","","","",""
"","SOCIAL SERVICES","4","1","0","1","0","6","1","","","","","","",""
"","VOLUNTEER","28","5","0","18","0","51","0","","","","","","",""
"","TOTAL","10,237","3,712","4","5,379","366","19,698","1,219","TOTAL","5,988","2,435","0","1,961","147","10,531"
