"Washington","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","18","18","0","0","14","1","51","3","COUNTY TRANSFER - OUT","14","17","1","0","8","0","40"
"DESIGNATED STATE AGENCIES","3","0","0","0","4","0","7","1","CRIMINAL CONVICTION","4","4","0","0","5","0","13"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","34","22","0","0","4","0","60"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","0","1","0","0","1","0","2"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","1","4","0","0","3","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","66","75","1","1","80","2","225","24","MOVED OUT OF STATE","5","12","0","0","4","0","21"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","3","3","0","0","6","0","12"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","1","0","0","0","0","0","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","6","1","0","0","0","0","7"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","1","0","1","0","","","","","","","",""
"TOTAL","88","97","1","1","102","3","292","28","TOTAL","67","60","1","0","28","0","156"
