"Carroll","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","36","45","0","1","15","0","97","2","COUNTY TRANSFER - OUT","34","36","0","2","20","0","92"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","1","5","0","0","0","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","27","26","0","0","2","0","55"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","1","2","0","0","0","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","4","4","0","0","0","0","8","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","63","94","1","1","68","0","227","19","MOVED OUT OF STATE","9","15","0","0","8","0","32"
"NVRA BY MAIL","4","2","0","0","2","0","8","0","OTHER","1","2","0","0","0","0","3"
"OTHER MEANS","1","2","0","0","2","0","5","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","28","60","0","0","24","0","112"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","0","0","0","0","0","0","0","","","","","","","",""
"TOTAL","108","147","1","2","87","0","345","21","TOTAL","101","146","0","2","54","0","303"
