"Calvert","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","14","26","0","1","17","1","59","0","COUNTY TRANSFER - OUT","22","18","0","0","16","0","56"
"DESIGNATED STATE AGENCIES","2","2","0","1","0","0","5","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","29","15","0","0","1","1","46"
"FROM ANOTHER BOARD","4","1","0","0","1","0","6","0","DUPLICATE","0","1","0","0","2","0","3"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","1","2","0","0","1","0","4"
"IN PERSON","0","0","0","0","1","0","1","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","53","39","0","0","36","2","130","5","MOVED OUT OF STATE","5","5","0","0","1","0","11"
"NVRA BY MAIL","0","3","0","0","1","0","4","1","OTHER","0","0","0","0","1","0","1"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","1","0","0","1","0","2"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","1","2","0","0","1","0","4","0","","","","","","","",""
"TOTAL","74","73","0","2","57","3","209","6","TOTAL","57","42","0","0","23","1","123"
