"St. Mary's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","25","12","0","1","11","2","51","5","COUNTY TRANSFER - OUT","14","13","0","0","5","0","32"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","0","0","0","0","0","0","0"
"FROM ANOTHER BOARD","0","0","0","0","0","0","0","0","DUPLICATE","2","1","0","0","2","0","5"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","54","50","1","0","28","3","136"
"IN PERSON","1","1","0","0","0","0","2","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","47","72","1","1","67","2","190","16","MOVED OUT OF STATE","7","5","0","0","5","0","17"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","OTHER","1","0","0","1","0","0","2"
"OTHER MEANS","0","0","0","0","0","0","0","0","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","1","0","0","0","1","0","2","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","74","86","1","2","79","4","246","21","TOTAL","78","69","1","1","40","3","192"
