"Montgomery","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","1","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","334","123","2","3","139","10","611","5","COUNTY TRANSFER - OUT","153","98","1","1","68","0","321"
"DESIGNATED STATE AGENCIES","0","0","0","0","2","0","2","0","CRIMINAL CONVICTION","9","1","0","1","2","0","13"
"ELDERLY / DISABLED","1","0","0","0","0","0","1","0","DEATH NOTICE","239","122","1","1","47","1","411"
"FROM ANOTHER BOARD","7","10","0","0","4","1","22","0","DUPLICATE","15","10","0","0","3","1","29"
"PROVISIONAL BALLOT","0","0","0","0","1","0","1","0","MAIL VERIFICATION (NVRA)","1","0","0","0","2","0","3"
"IN PERSON","14","4","0","0","20","0","38","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","821","285","10","12","617","26","1,771","89","MOVED OUT OF STATE","407","188","9","2","172","3","781"
"NVRA BY MAIL","2","0","0","0","1","0","3","0","OTHER","28","9","0","0","21","1","59"
"OTHER MEANS","15","6","0","0","7","0","28","17","VOTER REQUEST","1","0","0","0","3","0","4"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","277","154","2","2","178","2","615"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","49","11","2","0","19","0","81","0","","","","","","","",""
"TOTAL","1,243","439","14","15","810","37","2,558","116","TOTAL","1,130","582","13","7","496","8","2,236"
