"Charles","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","1","0","BOARD ACTION","3","0","0","0","1","0","4"
"BY MAIL","30","13","0","1","8","1","53","11","COUNTY TRANSFER - OUT","40","26","0","0","13","1","80"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","7","CRIMINAL CONVICTION","5","2","0","0","0","0","7"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","18","15","0","0","4","0","37"
"FROM ANOTHER BOARD","1","0","0","0","1","0","2","1","DUPLICATE","2","1","0","0","1","0","4"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","1","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","1","0","3","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","163","64","2","1","69","1","300","36","MOVED OUT OF STATE","10","8","0","1","4","0","23"
"NVRA BY MAIL","5","0","0","0","2","0","7","0","OTHER","3","2","0","0","2","0","7"
"OTHER MEANS","1","0","0","0","0","0","1","1","VOTER REQUEST","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","0","0","0","0","0","3"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","0","1","0","0","0","0","1","0","","","","","","","",""
"TOTAL","204","78","2","2","81","2","369","57","TOTAL","84","54","0","1","25","1","165"
