"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","1","1","0","BOARD ACTION","0","0","0","0","0","0","0"
"BY MAIL","198","22","1","0","48","2","271","2","COUNTY TRANSFER - OUT","332","96","3","1","70","34","536"
"DESIGNATED STATE AGENCIES","40","10","0","0","22","0","72","0","CRIMINAL CONVICTION","1","0","0","0","0","0","1"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","DEATH NOTICE","269","45","0","0","6","21","341"
"FROM ANOTHER BOARD","389","70","0","3","134","5","601","0","DUPLICATE","32","4","0","0","2","6","44"
"PROVISIONAL BALLOT","1","0","0","0","0","0","1","0","MAIL VERIFICATION (NVRA)","45","4","0","1","8","2","60"
"IN PERSON","4","0","0","0","0","0","4","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","380","36","2","1","182","3","604","0","MOVED OUT OF STATE","125","33","2","0","15","7","182"
"NVRA BY MAIL","4","3","1","0","0","0","8","0","OTHER","19","5","0","0","5","0","29"
"OTHER MEANS","51","6","0","0","18","3","78","0","VOTER REQUEST","0","0","0","0","0","1","1"
"RECRUITING","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","","","","","","","",""
"VOLUNTEER","11","1","0","0","6","0","18","0","","","","","","","",""
"TOTAL","1,078","148","4","4","410","14","1,658","2","TOTAL","823","187","5","2","106","71","1,194"
