"REMOVALS
NEW REGISTRATION BY PARTY
SUMMARY","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","7","4","0","0","0","0","11","3","BOARD ACTION","3","0","0","0","1","0","4"
"BY MAIL","536","207","4","8","204","14","973","187","CONFIRMATION MAIL","3","1","0","0","1","0","5"
"DESIGNATED STATE AGENCIES","229","64","2","7","116","10","428","113","COUNTY TRANSFER - OUT","1,925","625","9","27","619","15","3,220"
"ELDERLY / DISABLED / SOC SEC","302","49","4","3","139","4","501","3","CRIMINAL CONVICTION","211","35","1","1","53","5","306"
"ERIC REPORT","1","0","0","0","1","0","2","0","DEATH NOTICE","1,708","783","2","5","268","29","2,795"
"FROM ANOTHER BOARD","15","8","0","0","4","3","30","15","DUPLICATE","38","3","0","0","6","3","50"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","2,614","1,011","18","44","1,021","32","4,740"
"IN PERSON","45","15","0","1","8","0","69","4","MENTAL INCOMPETENCY","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","5082","2005","35","108","2847","58","10,135","338","MOVED OUT OF STATE","250","239","1","2","121","8","621"
"NVRA BY MAIL","26","5","1","1","4","0","37","3","OTHER","19","5","0","1","15","0","40"
"ONLINE REGISTRATION","403","106","7","5","158","4","683","20","VOTER REQUEST","11","11","0","0","6","0","28"
"OTHER MEANS","89","21","0","1","46","4","161","707","","","","","","","",""
"RECRUITING","0","0","0","0","0","0","0","0","","","","","","","",""
"SOCIAL SERVICES","6","0","0","0","6","0","12","4","","","","","","","",""
"VOLUNTEER","124","40","3","0","49","0","216","0","","","","","","","",""
"TOTAL","6,865","2,524","56","134","3,582","97","13,258","1,397","TOTAL","6,782","2,713","31","80","2,111","92","11,809"
