"Frederick","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","10","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","23","32","2","0","1","2","15","0","75","6","COUNTY TRANSFER - OUT","38","39","0","0","1","1","20","0","99"
"DESIGNATED STATE AGENCIES","0","1","0","0","0","0","0","0","1","0","CRIMINAL CONVICTION","3","3","0","0","0","0","0","0","6"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","72","53","1","0","0","0","15","0","141"
"FROM ANOTHER BOARD","6","4","0","0","0","0","0","0","10","0","DUPLICATE","12","9","0","0","0","0","7","0","28"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","4","3","0","0","0","0","1","0","8"
"IN PERSON","0","1","0","0","1","0","0","0","2","2","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","79","92","2","0","29","2","60","0","264","52","MOVED OUT OF STATE","16","22","0","0","0","1","12","0","51"
"NVRA BY MAIL","2","0","0","0","3","0","0","0","5","0","OTHER","0","0","0","0","0","0","0","0","0"
"OTHER MEANS","2","0","0","0","0","0","2","0","4","83","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","2","0","0","0","0","1","0","5","0","","","","","","","","","",""
"VOLUNTEER","5","19","1","0","1","0","0","0","26","0","","","","","","","","","",""
"TOTAL","119","151","5","0","35","4","78","0","392","154","TOTAL","145","129","1","0","1","2","55","0","333"
