"Wicomico","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","6","0","6"
"BY MAIL","6","5","0","0","1","0","3","0","15","3","COUNTY TRANSFER - OUT","16","13","0","0","1","0","12","1","43"
"DESIGNATED STATE AGENCIES","0","0","0","0","0","0","0","0","0","0","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","50","33","1","0","0","0","7","2","93"
"FROM ANOTHER BOARD","2","0","0","0","0","0","1","0","3","1","DUPLICATE","8","1","0","0","0","0","0","0","9"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","0","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","2","0","0","0","0","0","0","0","2","1","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","60","38","0","0","18","0","39","0","155","31","MOVED OUT OF STATE","4","4","0","0","0","0","0","0","8"
"NVRA BY MAIL","2","0","0","0","1","0","1","0","4","0","OTHER","0","0","0","0","0","0","1","0","1"
"OTHER MEANS","1","0","0","0","0","0","0","0","1","0","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","3","4","0","0","0","0","2","0","9"
"SOCIAL SERVICES","2","0","0","0","0","0","0","0","2","0","","","","","","","","","",""
"VOLUNTEER","0","1","0","0","1","1","0","0","3","0","","","","","","","","","",""
"TOTAL","75","44","0","0","21","1","44","0","185","36","TOTAL","81","55","1","0","1","0","28","3","169"
