"Prince George's","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","1","0","0","0","0","0","0","0","1","55","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","118","26","1","0","1","1","44","3","194","217","COUNTY TRANSFER - OUT","252","46","1","0","0","4","41","20","364"
"DESIGNATED STATE AGENCIES","108","24","0","0","10","0","35","0","177","2","CRIMINAL CONVICTION","0","0","0","0","0","0","0","0","0"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","68","DEATH NOTICE","652","64","0","0","1","2","18","40","777"
"FROM ANOTHER BOARD","5","0","0","0","0","0","1","0","6","138","DUPLICATE","168","23","0","0","0","1","12","30","234"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","47","MAIL VERIFICATION (NVRA)","0","0","0","0","0","0","0","0","0"
"IN PERSON","56","17","0","0","12","0","41","0","126","98","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","609","63","1","0","60","2","147","6","888","3,476","MOVED OUT OF STATE","124","39","0","0","0","1","25","6","195"
"NVRA BY MAIL","0","0","0","0","0","0","0","0","0","5","OTHER","5","1","0","0","1","0","5","0","12"
"OTHER MEANS","42","2","0","0","1","0","8","0","53","11,186","VOTER REQUEST","1","0","0","0","0","0","0","1","2"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","0","0","0","0","0","0","0","0","0"
"SOCIAL SERVICES","2","0","0","0","0","0","0","0","2","197","","","","","","","","","",""
"VOLUNTEER","1","0","0","0","0","0","0","0","1","0","","","","","","","","","",""
"TOTAL","942","132","2","0","84","3","276","9","1,448","15,489","TOTAL","1,202","173","1","0","2","8","101","97","1,584"
