"Harford","NEW REGISTRATION BY PARTY
REMOVALS","","","","","","","","","","","","","","","","","","",""
"","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL","DUPS","","DEM","REP","GRN","CON","IND","LIB","UNAF","OTH","TOTAL"
"ABSENTEE BALLOT (FPCA)","0","0","0","0","0","0","0","0","0","0","BOARD ACTION","0","0","0","0","0","0","0","0","0"
"BY MAIL","15","10","0","0","1","0","0","0","26","2","COUNTY TRANSFER - OUT","233","164","1","0","7","7","112","3","527"
"DESIGNATED STATE AGENCIES","3","0","0","0","0","0","0","1","4","0","CRIMINAL CONVICTION","4","4","0","0","1","0","2","0","11"
"ELDERLY / DISABLED","0","0","0","0","0","0","0","0","0","0","DEATH NOTICE","70","50","0","0","1","0","2","2","125"
"FROM ANOTHER BOARD","1","2","0","0","0","0","1","0","4","0","DUPLICATE","4","8","0","0","0","0","3","0","15"
"PROVISIONAL BALLOT","0","0","0","0","0","0","0","0","0","1","MAIL VERIFICATION (NVRA)","2","1","0","0","0","0","0","0","3"
"IN PERSON","0","0","0","0","0","0","0","0","0","0","MENTAL INCOMPETENCY","0","0","0","0","0","0","0","0","0"
"MOTOR VEHICLE ADMINISTRATION","136","109","2","0","25","1","85","0","358","16","MOVED OUT OF STATE","22","25","1","0","0","1","8","2","59"
"NVRA BY MAIL","1","3","0","0","0","0","9","0","13","0","OTHER","1","1","0","0","0","0","0","0","2"
"OTHER MEANS","1","0","0","0","1","0","1","0","3","1","VOTER REQUEST","0","0","0","0","0","0","0","0","0"
"RECRUITING","0","0","0","0","0","0","0","0","0","0","CONFIRMATION MAIL","17","10","0","0","0","0","2","0","29"
"SOCIAL SERVICES","0","0","0","0","0","0","0","0","0","0","","","","","","","","","",""
"VOLUNTEER","1","2","0","0","0","0","1","0","4","0","","","","","","","","","",""
"TOTAL","158","126","2","0","27","1","97","1","412","20","TOTAL","353","263","2","0","9","8","129","7","771"
